sid,sub,pid,pred,oid,obj,no_facts,class
337154.0,dbr:Adam_Sandler,480,dbo:profession,1263725.0,dbr:Comedian,111,1
337154.0,dbr:Adam_Sandler,480,dbo:profession,4203846.0,dbr:Prophet,111,0
337154.0,dbr:Adam_Sandler,480,dbo:profession,4804413.0,dbr:Spokesperson,111,0
337154.0,dbr:Adam_Sandler,480,dbo:profession,4152322.0,dbr:Playwright,111,0
346503.0,dbr:Adolf_Hitler,480,dbo:profession,4163397.0,dbr:Politician,169,1
346503.0,dbr:Adolf_Hitler,480,dbo:profession,4123786.0,dbr:Physicist,169,0
346503.0,dbr:Adolf_Hitler,480,dbo:profession,1710695.0,dbr:Entertainment,169,0
346503.0,dbr:Adolf_Hitler,480,dbo:profession,3270945.0,dbr:Lyricist,169,0
348193.0,dbr:Adoor_Gopalakrishnan,480,dbo:profession,4622320.0,dbr:Screenwriter,44,1
348193.0,dbr:Adoor_Gopalakrishnan,480,dbo:profession,4052462.0,dbr:Peace_movement,44,0
348193.0,dbr:Adoor_Gopalakrishnan,480,dbo:profession,5244088.0,dbr:Tutor,44,0
348193.0,dbr:Adoor_Gopalakrishnan,480,dbo:profession,4996807.0,dbr:Television_director,44,0
408308.0,dbr:Albert_Einstein,480,dbo:profession,5100570.0,dbr:Theoretical_physics,90,1
408308.0,dbr:Albert_Einstein,480,dbo:profession,2945084.0,dbr:Keyboardist,90,0
408308.0,dbr:Albert_Einstein,480,dbo:profession,4213981.0,dbr:Psychoanalysis,90,0
408308.0,dbr:Albert_Einstein,480,dbo:profession,770460.0,dbr:Bassist,90,0
424585.0,dbr:Aleksander_Kwaśniewski,480,dbo:profession,4163397.0,dbr:Politician,57,1
424585.0,dbr:Aleksander_Kwaśniewski,480,dbo:profession,3883672.0,dbr:Officer_(armed_forces),57,0
424585.0,dbr:Aleksander_Kwaśniewski,480,dbo:profession,3688030.0,dbr:Musician,57,0
424585.0,dbr:Aleksander_Kwaśniewski,480,dbo:profession,4612807.0,dbr:Scientist,57,0
461206.0,dbr:Alfred_Hitchcock,480,dbo:profession,1867499.0,dbr:Film_producer,143,1
461206.0,dbr:Alfred_Hitchcock,480,dbo:profession,3270945.0,dbr:Lyricist,143,0
461206.0,dbr:Alfred_Hitchcock,480,dbo:profession,861291.0,dbr:Biologist,143,0
461206.0,dbr:Alfred_Hitchcock,480,dbo:profession,897936.0,dbr:Bodybuilding,143,0
634123.0,dbr:Aristotle,480,dbo:profession,4118405.0,dbr:Philosopher,177,1
634123.0,dbr:Aristotle,480,dbo:profession,1265059.0,dbr:Commentator,177,0
634123.0,dbr:Aristotle,480,dbo:profession,1956309.0,dbr:Friar,177,0
634123.0,dbr:Aristotle,480,dbo:profession,4110879.0,dbr:Philanthropy,177,0
644297.0,dbr:Arnold_Schwarzenegger,480,dbo:profession,4163397.0,dbr:Politician,109,1
644297.0,dbr:Arnold_Schwarzenegger,480,dbo:profession,657700.0,dbr:Artist,109,0
644297.0,dbr:Arnold_Schwarzenegger,480,dbo:profession,1867470.0,dbr:Film_director,109,0
644297.0,dbr:Arnold_Schwarzenegger,480,dbo:profession,3482288.0,dbr:Media_proprietor,109,0
696887.0,dbr:Augustus,480,dbo:profession,4442597.0,dbr:Roman_emperor,44,1
696887.0,dbr:Augustus,480,dbo:profession,5396313.0,dbr:Voice_acting,44,0
696887.0,dbr:Augustus,480,dbo:profession,2604620.0,dbr:Jazz_piano,44,0
696887.0,dbr:Augustus,480,dbo:profession,4110879.0,dbr:Philanthropy,44,0
752593.0,dbr:Barack_Obama,480,dbo:profession,4163397.0,dbr:Politician,1279,1
