sid,sub,pid,pred,oid,obj,class
2544742,dbr:Jake_Warga,194,dbo:education,728221,dbr:Bachelor_of_Science,1
1196487,dbr:Christopher_Soghoian,194,dbo:education,728221,dbr:Bachelor_of_Science,1
2777415,dbr:Joseph_Veverka,194,dbo:education,728221,dbr:Bachelor_of_Science,1
4034752,dbr:Paul_Maritz,194,dbo:education,728221,dbr:Bachelor_of_Science,1
5591125,dbr:Yizhi_Jane_Tao,194,dbo:education,728221,dbr:Bachelor_of_Science,1
5520403,dbr:William_Shunn,194,dbo:education,728221,dbr:Bachelor_of_Science,1
3806917,dbr:Nigel_Latta,194,dbo:education,728221,dbr:Bachelor_of_Science,1
1194108,dbr:Christopher_Cassidy,194,dbo:education,728221,dbr:Bachelor_of_Science,1
5509403,dbr:William_Haskell_Alsup,194,dbo:education,728221,dbr:Bachelor_of_Science,1
5216665,dbr:Trevor_Gardner,194,dbo:education,728221,dbr:Bachelor_of_Science,1
1996738,dbr:Gareth_Morgan_(author),194,dbo:education,728221,dbr:Bachelor_of_Science,1
3228107,dbr:Louise_Fili,194,dbo:education,728221,dbr:Bachelor_of_Science,1
4919520,dbr:Suzanne_Anton,194,dbo:education,728221,dbr:Bachelor_of_Science,1
4099054,dbr:Petr_Beckmann,194,dbo:education,728221,dbr:Bachelor_of_Science,1
3461251,dbr:Maurice_K._Goddard,194,dbo:education,728221,dbr:Bachelor_of_Science,1
2709052,dbr:John_Gruber,194,dbo:education,728221,dbr:Bachelor_of_Science,1
2697051,dbr:John_Canny,194,dbo:education,728221,dbr:Bachelor_of_Science,1
3523058,dbr:Michael_Fourman,194,dbo:education,728221,dbr:Bachelor_of_Science,1
4489185,dbr:Russell_L._Rogers,194,dbo:education,728221,dbr:Bachelor_of_Science,1
4283281,dbr:Ramu_Yalamanchi,194,dbo:education,728221,dbr:Bachelor_of_Science,1
5170571,dbr:Tom_Tribone,194,dbo:education,728221,dbr:Bachelor_of_Science,1
2412510,dbr:Ian_Gatley,194,dbo:education,728221,dbr:Bachelor_of_Science,1
5147318,dbr:Timothy_P._Green,194,dbo:education,728221,dbr:Bachelor_of_Science,1
4527218,dbr:Sadhu_Ram_Sharma,194,dbo:education,728221,dbr:Bachelor_of_Science,1
4449090,dbr:Ronald_D._Castille,194,dbo:education,728221,dbr:Bachelor_of_Science,1
4131055,dbr:Pierre_J._Thuot,194,dbo:education,728221,dbr:Bachelor_of_Science,1
2171013,dbr:Guido_Calabresi,194,dbo:education,728221,dbr:Bachelor_of_Science,1
3517839,dbr:Michael_A._Wartell,194,dbo:education,728221,dbr:Bachelor_of_Science,1
2329794,dbr:Hinton_Mitchem,194,dbo:education,728221,dbr:Bachelor_of_Science,1
2714853,dbr:John_Johnston_O'Neill,194,dbo:education,728221,dbr:Bachelor_of_Science,1
2040822,dbr:George_Piranian,194,dbo:education,728221,dbr:Bachelor_of_Science,1
3679628,dbr:Munir_Ahmad_Khan,194,dbo:education,728221,dbr:Bachelor_of_Science,1
3792145,dbr:Nicholas_Metropolis,194,dbo:education,728221,dbr:Bachelor_of_Science,1
2432034,dbr:Ihsan_Isik,194,dbo:education,728221,dbr:Bachelor_of_Science,1
1124342,dbr:Charles_F._Conner,194,dbo:education,728221,dbr:Bachelor_of_Science,1
3397444,dbr:Mark_S._Wrighton,194,dbo:education,728221,dbr:Bachelor_of_Science,1
4869163,dbr:Steven_J._Dick,194,dbo:education,728221,dbr:Bachelor_of_Science,1
2940437,dbr:Kevin_J._Tracey,194,dbo:education,728221,dbr:Bachelor_of_Science,1
4085050,dbr:Peter_Davies_(scientist),194,dbo:education,728221,dbr:Bachelor_of_Science,1
2734145,dbr:John_Strangfeld,194,dbo:education,728221,dbr:Bachelor_of_Science,1
468747,dbr:Ali_Sajid,194,dbo:education,728221,dbr:Bachelor_of_Science,1
4029224,dbr:Paul_Dourish,194,dbo:education,728221,dbr:Bachelor_of_Science,1
2054127,dbr:Gerald_Verner_White,194,dbo:education,728221,dbr:Bachelor_of_Science,1
1549926,dbr:Don_L._Lind,194,dbo:education,728221,dbr:Bachelor_of_Science,1
656682,dbr:Arthur_Wallace,194,dbo:education,728221,dbr:Bachelor_of_Science,1
3887190,dbr:Ohn_Than,194,dbo:education,728221,dbr:Bachelor_of_Science,1
891377,dbr:Bob_Timberlake_(artist),194,dbo:education,728221,dbr:Bachelor_of_Science,1
2619583,dbr:Jeff_Landry,194,dbo:education,728221,dbr:Bachelor_of_Science,1
3525639,dbr:Michael_J._Saylor,194,dbo:education,728221,dbr:Bachelor_of_Science,1
3462069,dbr:Maurice_W._Long,194,dbo:education,728221,dbr:Bachelor_of_Science,1
4357031,dbr:Richard_F._Cebull,194,dbo:education,728221,dbr:Bachelor_of_Science,1
3521400,dbr:Michael_D._Johnson,194,dbo:education,728221,dbr:Bachelor_of_Science,1
402036,dbr:Alan_Needleman,194,dbo:education,728221,dbr:Bachelor_of_Science,1
4112112,dbr:Philip_Franklin,194,dbo:education,728221,dbr:Bachelor_of_Science,1
3137120,dbr:Lewis_Hastings_Sarett,194,dbo:education,728221,dbr:Bachelor_of_Science,1
443969,dbr:Alex_Zunger,194,dbo:education,728221,dbr:Bachelor_of_Science,1
4562100,dbr:Samuel_Conti,194,dbo:education,728221,dbr:Bachelor_of_Science,1
2699277,dbr:John_Cooper_Godbold,194,dbo:education,728221,dbr:Bachelor_of_Science,1
5006447,dbr:Terrence_L._O'Brien,194,dbo:education,728221,dbr:Bachelor_of_Science,1
700604,dbr:Austin_L._Rand,194,dbo:education,728221,dbr:Bachelor_of_Science,1
4430290,dbr:Roger_W._Brockett,194,dbo:education,728221,dbr:Bachelor_of_Science,1
1219157,dbr:Clarence_Arlen_Beam,194,dbo:education,728221,dbr:Bachelor_of_Science,1
5357010,dbr:Victor_Veysey,194,dbo:education,728221,dbr:Bachelor_of_Science,1
3331104,dbr:Mani_Lal_Bhaumik,194,dbo:education,728221,dbr:Bachelor_of_Science,1
4457326,dbr:Rose_Gottemoeller,194,dbo:education,728221,dbr:Bachelor_of_Science,1
1644240,dbr:Edward_K._Reedy,194,dbo:education,728221,dbr:Bachelor_of_Science,1
653745,dbr:Arthur_J._Samberg,194,dbo:education,728221,dbr:Bachelor_of_Science,1
2306746,dbr:Herbert_Goldstein,194,dbo:education,728221,dbr:Bachelor_of_Science,1
2580887,dbr:Jane_H._Smith,194,dbo:education,728221,dbr:Bachelor_of_Science,1
945922,dbr:Brian_J._Donnelly,194,dbo:education,728221,dbr:Bachelor_of_Science,1
2706394,dbr:John_Francis_Nangle,194,dbo:education,728221,dbr:Bachelor_of_Science,1
3070847,dbr:Larry_R._Hicks,194,dbo:education,728221,dbr:Bachelor_of_Science,1
