sid,sub,pid,pred,oid,obj,class
3610095,dbr:Mizuko_Ito,27,dbo:almaMater,3824176,dbr:Nishimachi_International_School,1
2941535,dbr:Kevin_Mawae,27,dbo:almaMater,3104590,dbr:Leesville_High_School,1
977932,dbr:Buddy_Leach,27,dbo:almaMater,3104590,dbr:Leesville_High_School,1
810405,dbr:Benjamin_Kane_Ethridge,27,dbo:almaMater,5293958,"dbr:University_of_California,_Riverside",1
2052760,dbr:Gerald_Albright,27,dbo:almaMater,3203720,dbr:Locke_High_School,1
1885341,dbr:Florin_Diacu,27,dbo:almaMater,5293915,dbr:University_of_Bucharest,1
1757125,dbr:Eugen_Lovinescu,27,dbo:almaMater,5293915,dbr:University_of_Bucharest,1
3771340,dbr:Nestor_Ignat,27,dbo:almaMater,5293915,dbr:University_of_Bucharest,1
461917,dbr:Alfred_Mirsky,27,dbo:almaMater,2257765,dbr:Harvard_College,1
4131769,dbr:Pierre_N._Leval,27,dbo:almaMater,2257765,dbr:Harvard_College,1
521916,dbr:Anand_Mahindra,27,dbo:almaMater,2257765,dbr:Harvard_College,1
1589289,dbr:Duncan_Kennedy_(legal_philosopher),27,dbo:almaMater,2257765,dbr:Harvard_College,1
3760978,dbr:Nell_Scovell,27,dbo:almaMater,2257765,dbr:Harvard_College,1
2640504,dbr:Jessica_Yellin,27,dbo:almaMater,2257765,dbr:Harvard_College,1
1417956,dbr:David_F._Levi,27,dbo:almaMater,2257765,dbr:Harvard_College,1
1126007,dbr:Charles_Hale,27,dbo:almaMater,2257765,dbr:Harvard_College,1
5207782,dbr:Tracy_Putnam,27,dbo:almaMater,2257765,dbr:Harvard_College,1
2549939,dbr:James_A._Shapiro,27,dbo:almaMater,2257765,dbr:Harvard_College,1
1420557,dbr:David_Hammond_(director),27,dbo:almaMater,2257765,dbr:Harvard_College,1
3415339,dbr:Martin_Kinsley,27,dbo:almaMater,2257765,dbr:Harvard_College,1
1911339,dbr:Francis_Cabot_Lowell_(judge),27,dbo:almaMater,2257765,dbr:Harvard_College,1
2303263,dbr:Henry_Van_Brunt,27,dbo:almaMater,2257765,dbr:Harvard_College,1
3509620,dbr:Metacomet,27,dbo:almaMater,2257765,dbr:Harvard_College,1
2753014,dbr:Jonathan_Mayhew_Wainwright_(bishop),27,dbo:almaMater,2257765,dbr:Harvard_College,1
2557739,dbr:James_H._Fowler,27,dbo:almaMater,2257765,dbr:Harvard_College,1
4365900,dbr:Richard_Weitz,27,dbo:almaMater,2257765,dbr:Harvard_College,1
1089154,dbr:Cecelie_Berry,27,dbo:almaMater,2257765,dbr:Harvard_College,1
2774204,dbr:Joseph_Lelyveld,27,dbo:almaMater,2257765,dbr:Harvard_College,1
5004160,dbr:Teresa_Clarke,27,dbo:almaMater,2257765,dbr:Harvard_College,1
2728270,dbr:John_Quincy_Adams_II,27,dbo:almaMater,2257765,dbr:Harvard_College,1
2938809,dbr:Kevin_Curran_(writer),27,dbo:almaMater,2257765,dbr:Harvard_College,1
2750160,dbr:Jonas_Wheeler,27,dbo:almaMater,2257765,dbr:Harvard_College,1
4904384,dbr:Sumner_Redstone,27,dbo:almaMater,2257765,dbr:Harvard_College,1
4919813,dbr:Suzanne_Malveaux,27,dbo:almaMater,2257765,dbr:Harvard_College,1
3754426,dbr:Ned_Lamont,27,dbo:almaMater,2257765,dbr:Harvard_College,1
5439175,dbr:Walter_R._Mansfield,27,dbo:almaMater,2257765,dbr:Harvard_College,1
4563297,dbr:Samuel_Holden_Parsons,27,dbo:almaMater,2257765,dbr:Harvard_College,1
319032,dbr:Abram_Chayes,27,dbo:almaMater,2257765,dbr:Harvard_College,1
4360086,dbr:Richard_Kleindienst,27,dbo:almaMater,2257765,dbr:Harvard_College,1
1644393,dbr:Edward_Knoblock,27,dbo:almaMater,2257765,dbr:Harvard_College,1
3135139,dbr:Leverett_George_DeVeber,27,dbo:almaMater,2257765,dbr:Harvard_College,1
1194332,dbr:Christopher_Dahl_(administrator),27,dbo:almaMater,2257765,dbr:Harvard_College,1
4095292,dbr:Peter_Stearns,27,dbo:almaMater,2257765,dbr:Harvard_College,1
1593505,dbr:Dustin_Thomason,27,dbo:almaMater,2257765,dbr:Harvard_College,1
380567,dbr:Aisha_Muharrar,27,dbo:almaMater,2257765,dbr:Harvard_College,1
4096615,dbr:Peter_W._Galbraith,27,dbo:almaMater,2257765,dbr:Harvard_College,1
2944545,dbr:Kevin_Young_(poet),27,dbo:almaMater,2257765,dbr:Harvard_College,1
346303,dbr:Adolf_A._Berle,27,dbo:almaMater,2257765,dbr:Harvard_College,1
5519469,dbr:William_Russell_(governor),27,dbo:almaMater,2257765,dbr:Harvard_College,1
4480359,dbr:Ruffin_Pleasant,27,dbo:almaMater,2257765,dbr:Harvard_College,1
5509416,dbr:William_Hathaway,27,dbo:almaMater,2257765,dbr:Harvard_College,1
1433787,dbr:David_T._Ellwood,27,dbo:almaMater,2257765,dbr:Harvard_College,1
