sid,sub,pid,pred,oid,obj,class
2254956,dbr:Harry_South,65,dbo:birthPlace,1966499,dbr:Fulham,1
2032128,dbr:George_Eulas_Foster,65,dbo:birthPlace,1055674,"dbr:Carleton_County,_New_Brunswick",1
1913392,dbr:Francis_Monkman,65,dbo:birthPlace,2225051,dbr:Hampstead,1
5142051,dbr:Tim_Roper,65,dbo:birthPlace,2225051,dbr:Hampstead,1
4667008,dbr:Sewell_Stokes,65,dbo:birthPlace,2225051,dbr:Hampstead,1
1174684,dbr:Chris_Castle,65,dbo:birthPlace,4576076,"dbr:Sandusky,_Ohio",1
5553623,dbr:Wu_Peifu,65,dbo:birthPlace,4677461,dbr:Shandong,1
4446998,dbr:Ron_Hughes_(American_football),65,dbo:birthPlace,1119275,"dbr:Charleroi,_Pennsylvania",1
2943515,dbr:Kevin_Simm,65,dbo:birthPlace,1172212,dbr:Chorley,1
1231684,dbr:Cliff_Griffith,65,dbo:birthPlace,3821542,"dbr:Nineveh,_Indiana",1
402279,dbr:Alan_Parker_(musician),65,dbo:birthPlace,3445457,"dbr:Matlock,_Derbyshire",1
4563540,dbr:Samuel_Jacob_Jackson,65,dbo:birthPlace,4880142,dbr:Stradbally,1
4112492,dbr:Philip_Hooker,65,dbo:birthPlace,4493458,"dbr:Rutland,_Massachusetts",1
2717241,"dbr:John_Latenser,_Sr.",65,dbo:birthPlace,3765649,dbr:Nendeln,1
2726361,dbr:John_Patrick_Micklethwait_Brenan,65,dbo:birthPlace,1165849,dbr:Chislehurst,1
3523081,dbr:Michael_Francis_Phelan,65,dbo:birthPlace,3269640,"dbr:Lynn,_Massachusetts",1
2574462,dbr:Jan_Baan,65,dbo:birthPlace,4374283,dbr:Rijssen,1
1554493,dbr:Donald_W._Nicholson,65,dbo:birthPlace,5446645,"dbr:Wareham,_Massachusetts",1
5440137,dbr:Walter_Tucker_(Canadian_politician),65,dbo:birthPlace,4175332,dbr:Portage_la_Prairie,1
2751051,dbr:Jonathan_Browning,65,dbo:birthPlace,4904342,"dbr:Sumner_County,_Tennessee",1
1182260,dbr:Chris_Woodhead,65,dbo:birthPlace,1632729,"dbr:Edmonton,_London",1
1067644,dbr:Carmine_Agnello,65,dbo:birthPlace,3960206,"dbr:Ozone_Park,_Queens",1
3879836,dbr:Odean_Pope,65,dbo:birthPlace,3821536,"dbr:Ninety_Six,_South_Carolina",1
279980,dbr:A._Starker_Leopold,65,dbo:birthPlace,989174,"dbr:Burlington,_Iowa",1
5439018,dbr:Walter_Planckaert,65,dbo:birthPlace,3774750,dbr:Nevele,1
1421942,dbr:David_Hunter_McAlpin,65,dbo:birthPlace,4152858,"dbr:Pleasant_Valley_(town),_New_York",1
2420461,dbr:Ida_Chong,65,dbo:birthPlace,5357407,dbr:Victoria_(electoral_district),1
2530321,dbr:Jackie_Oliver,65,dbo:birthPlace,1106367,dbr:Chadwell_Heath,1
392927,dbr:Al_Hodge_(rock_musician),65,dbo:birthPlace,897468,dbr:Bodmin,1
1566312,dbr:Dougie_Vipond,65,dbo:birthPlace,1664746,dbr:Elderslie,1
2127420,dbr:Gordon_Wilkins,65,dbo:birthPlace,3672458,dbr:Mudgee,1
2561825,dbr:James_Macrae,65,dbo:birthPlace,713613,dbr:Ayrshire,1
2692963,dbr:John_Bell_(barrister),65,dbo:birthPlace,2925377,dbr:Kendal,1
2481870,dbr:Isaac_G._Perry,65,dbo:birthPlace,812643,"dbr:Bennington,_Vermont",1
5322747,dbr:Valerie_Young,65,dbo:birthPlace,666987,"dbr:Ashburton,_New_Zealand",1
3085948,dbr:Lawrence_Cherney,65,dbo:birthPlace,4098104,"dbr:Peterborough,_Ontario",1
1474476,dbr:Denys_Stoyan,65,dbo:birthPlace,2369214,dbr:Hrebinky,1
1191216,dbr:Christine_Truman,65,dbo:birthPlace,5546065,dbr:Woodford_Green,1
2033464,dbr:George_Gilbert_Hoskins,65,dbo:birthPlace,812641,"dbr:Bennington,_New_York",1
668966,dbr:Ashley_Sexton,65,dbo:birthPlace,3208271,dbr:London_Borough_of_Enfield,1
3036893,dbr:LD_Beghtol,65,dbo:birthPlace,1899463,dbr:Fort_Campbell,1
1690573,dbr:Emil_Andres,65,dbo:birthPlace,5149462,"dbr:Tinley_Park,_Illinois",1
664368,"dbr:Asahel_Finch,_Jr.",65,dbo:birthPlace,2020662,"dbr:Genoa,_New_York",1
5111779,dbr:Thomas_Costello_(hurler),65,dbo:birthPlace,1045411,dbr:Cappawhite,1
2781380,dbr:Joshua_King,65,dbo:birthPlace,3234760,"dbr:Lowick,_Cumbria",1
1926616,dbr:Frank_Liddell,65,dbo:birthPlace,3309483,"dbr:Maitland,_New_South_Wales",1
2614646,dbr:Jean_Rouppert,65,dbo:birthPlace,1329748,dbr:Custines,1
1677273,dbr:Elizabeth_Stuart_Phelps_Ward,65,dbo:birthPlace,531186,"dbr:Andover,_Massachusetts",1
4033294,dbr:Paul_Keenan,65,dbo:birthPlace,3166380,dbr:Lisbon,1
1544880,dbr:Dominic_de_la_Calzada,65,dbo:birthPlace,5369734,dbr:Viloria_de_Rioja,1
4364707,dbr:Richard_Stovin,65,dbo:birthPlace,5485444,"dbr:Whitgift,_East_Riding_of_Yorkshire",1
1129676,dbr:Charles_Moss_(bishop_of_Bath_and_Wells),65,dbo:birthPlace,4179229,dbr:Postwick_with_Witton,1
1432329,dbr:David_Sharp_(entomologist),65,dbo:birthPlace,5202646,dbr:Towcester,1
375075,dbr:Ahtyba_Rubin,65,dbo:birthPlace,1899381,dbr:Fort_Belvoir,1
4032242,dbr:Paul_Hollywood,65,dbo:birthPlace,5432532,dbr:Wallasey,1
812363,dbr:Bennett_Campbell,65,dbo:birthPlace,3637849,"dbr:Montague,_Prince_Edward_Island",1
1389550,dbr:Danthala_Venkata_Meher_Baba,65,dbo:birthPlace,2867064,dbr:Kakinada,1
2573083,dbr:Jamie_Warren,65,dbo:birthPlace,2231286,"dbr:Hanover,_Ontario",1
3215544,dbr:Lorenzo_Camerano,65,dbo:birthPlace,841205,dbr:Biella,1
3396750,dbr:Mark_Rae,65,dbo:birthPlace,667668,dbr:Ashington,1
2348052,dbr:Homer_Curran,65,dbo:birthPlace,4808470,"dbr:Springfield,_Missouri",1
5216390,dbr:Trevor_Burton,65,dbo:birthPlace,677959,dbr:Aston,1
1552890,dbr:Donald_G._Jackson,65,dbo:birthPlace,5214797,"dbr:Tremont,_Mississippi",1
2647294,dbr:Jill_Lajdziak,65,dbo:birthPlace,952893,"dbr:Brillion,_Wisconsin",1
2715641,dbr:John_Kellum,65,dbo:birthPlace,2288376,"dbr:Hempstead,_New_York",1
3791281,dbr:Nicholas_Conyngham_Tindal,65,dbo:birthPlace,1145257,dbr:Chelmsford,1
678937,dbr:Astrid_Bussink,65,dbo:birthPlace,1653919,dbr:Eibergen,1
2125005,dbr:Gordon_Arthur_Riley,65,dbo:birthPlace,5460389,"dbr:Webb_City,_Missouri",1
5122016,dbr:Thomas_Scott_(Ohio),65,dbo:birthPlace,3894613,"dbr:Oldtown,_Maryland",1
4255718,dbr:Rachel_Matkin,65,dbo:birthPlace,1938838,dbr:Fraser_Canyon,1
2594467,dbr:Jason_Kutney,65,dbo:birthPlace,1952457,"dbr:Freehold_Borough,_New_Jersey",1
5510974,dbr:William_Hutchinson_(Australian_politician),65,dbo:birthPlace,3308387,dbr:Maindample,1
4091399,dbr:Peter_McLaren_(politician),65,dbo:birthPlace,3061731,"dbr:Lanark,_Ontario",1
4560418,dbr:Samson_Mason,65,dbo:birthPlace,1899308,"dbr:Fort_Ann_(village),_New_York",1
2031363,dbr:George_Dromgoole,65,dbo:birthPlace,3087263,"dbr:Lawrenceville,_Virginia",1
2372424,dbr:Hubert_Derache,65,dbo:birthPlace,3652522,dbr:Morteau,1
2375257,dbr:Hugh_J._Anderson,65,dbo:birthPlace,5536431,"dbr:Wiscasset,_Maine",1
2247963,dbr:Harriet_Andreassen,65,dbo:birthPlace,5362584,dbr:Vikna,1
1234809,dbr:Clive_Brooks,65,dbo:birthPlace,922002,"dbr:Bow,_London",1
5521155,dbr:William_Story_(attorney),65,dbo:birthPlace,5455266,"dbr:Waukesha_County,_Wisconsin",1
1648535,dbr:Edwin_Godsall,65,dbo:birthPlace,5192736,dbr:Toowoomba,1
3424722,dbr:Mary_Allitt,65,dbo:birthPlace,1466030,dbr:Deniliquin,1
2676670,dbr:Joe_Melia,65,dbo:birthPlace,2488233,dbr:Islington,1
4012658,dbr:Pat_O'Connor_(hurler),65,dbo:birthPlace,1282708,dbr:Coolderry,1
4115011,dbr:Philippa_Perry,65,dbo:birthPlace,5449340,dbr:Warrington,1
2773163,dbr:Joseph_Horton,65,dbo:birthPlace,1262201,dbr:Colwall,1
2298618,dbr:Henry_Horton_(sportsman),65,dbo:birthPlace,1262201,dbr:Colwall,1
1644584,dbr:Edward_Lavin_Girroir,65,dbo:birthPlace,5206610,"dbr:Tracadie,_Nova_Scotia",1
4852874,dbr:Stephen_C._West,65,dbo:birthPlace,3846808,dbr:North_Ferriby,1
3823766,dbr:Nisar_Ahmed_Faruqi,65,dbo:birthPlace,516253,dbr:Amroha,1
3128067,dbr:Lesley_B._Wells,65,dbo:birthPlace,3688254,"dbr:Muskegon,_Michigan",1
5591125,dbr:Yizhi_Jane_Tao,65,dbo:birthPlace,1161664,dbr:China,1
1944258,dbr:Fred_W._Riggs,65,dbo:birthPlace,1161664,dbr:China,1
2755851,dbr:Jonn_Penney,65,dbo:birthPlace,4238769,dbr:Quarry_Bank,1
3842951,dbr:Norman_Hughes,65,dbo:birthPlace,3726831,dbr:Nantwich,1
5175863,dbr:Tommy_Burks,65,dbo:birthPlace,1282269,"dbr:Cookeville,_Tennessee",1
2722459,dbr:John_Mickel_(politician),65,dbo:birthPlace,3682484,dbr:Murgon,1
2717490,dbr:John_Leake,65,dbo:birthPlace,4462984,dbr:Rotherhithe,1
656520,dbr:Arthur_Twidle,65,dbo:birthPlace,4462984,dbr:Rotherhithe,1
629642,dbr:Argo_Aadli,65,dbo:birthPlace,3019382,"dbr:Kunda,_Estonia",1
1724496,dbr:Eric_Simms_(rugby_league),65,dbo:birthPlace,2895468,"dbr:Karuah,_New_South_Wales",1
1487958,dbr:Devaki_Nandan_Khatri,65,dbo:birthPlace,4556282,dbr:Samastipur,1
1376970,dbr:Daniel_O'Mahony,65,dbo:birthPlace,1319150,dbr:Croydon,1
4086250,dbr:Peter_Flannery,65,dbo:birthPlace,2591378,dbr:Jarrow,1
2041073,dbr:George_Pyman,65,dbo:birthPlace,4575965,dbr:Sandsend,1
2252637,dbr:Harry_Jensen,65,dbo:birthPlace,3786189,"dbr:Newtown,_New_South_Wales",1
1944971,dbr:Freddie_McKay,65,dbo:birthPlace,4538097,dbr:Saint_Catherine_Parish,1
4030500,dbr:Paul_G._Hewitt,65,dbo:birthPlace,4599049,"dbr:Saugus,_Massachusetts",1
1220763,dbr:Clark_Williams,65,dbo:birthPlace,1038121,"dbr:Canandaigua_(town),_New_York",1
1911448,dbr:Francis_Chavasse,65,dbo:birthPlace,4918531,dbr:Sutton_Coldfield,1
1621313,dbr:Ed_Ames,65,dbo:birthPlace,3319196,"dbr:Malden,_Massachusetts",1
2301071,dbr:Henry_Olin,65,dbo:birthPlace,4672010,"dbr:Shaftsbury,_Vermont",1
2691550,dbr:John_B._McColl,65,dbo:birthPlace,3684018,"dbr:Murray_Township,_Ontario",1
4423947,dbr:Rodolphe_Forget,65,dbo:birthPlace,5006177,"dbr:Terrebonne,_Quebec",1
4744196,dbr:Siva_Nageswara_Rao,65,dbo:birthPlace,5298922,dbr:Uppalapadu,1
1434392,dbr:David_Tredinnick_(actor),65,dbo:birthPlace,2098675,"dbr:Glen_Waverley,_Victoria",1
405249,dbr:Alastair_Layzell,65,dbo:birthPlace,2636367,dbr:Jersey,1
3786384,dbr:Nexhat_Daci,65,dbo:birthPlace,5340315,dbr:Veliki_Trnovac,1
5115371,dbr:Thomas_Henderson_(New_Jersey),65,dbo:birthPlace,1952463,"dbr:Freehold_Township,_New_Jersey",1
2596248,dbr:Jason_Witczak,65,dbo:birthPlace,3846844,"dbr:North_Fond_du_Lac,_Wisconsin",1
4488588,dbr:Russell_Benjamin_Harrison,65,dbo:birthPlace,3958246,"dbr:Oxford,_Ohio",1
4106344,dbr:Phaswane_Mpe,65,dbo:birthPlace,4164580,dbr:Polokwane,1
1753304,dbr:Ethyl_Eichelberger,65,dbo:birthPlace,4060196,"dbr:Pekin,_Illinois",1
3247493,dbr:Ludwig_Heinrich_Bojanus,65,dbo:birthPlace,921770,"dbr:Bouxwiller,_Bas-Rhin",1
2731257,dbr:John_Samuel_Bourque,65,dbo:birthPlace,4691614,dbr:Sherbrooke_(provincial_electoral_district),1
3738831,dbr:Nathaniel_Boyd,65,dbo:birthPlace,3047476,dbr:Lachute,1
5187812,dbr:Tony_Green,65,dbo:birthPlace,970074,dbr:Brussels,1
3009232,dbr:Kristell_Lowagie,65,dbo:birthPlace,970074,dbr:Brussels,1
1545993,dbr:Dominique_Fidanza,65,dbo:birthPlace,970074,dbr:Brussels,1
1499931,dbr:Dick_Ket,65,dbo:birthPlace,1464800,dbr:Den_Helder,1
5519987,dbr:William_Sawyer_(cricketer),65,dbo:birthPlace,4367736,"dbr:Richmond,_London",1
1052435,dbr:Carl_Friedrich_Kielmeyer,65,dbo:birthPlace,789728,dbr:Bebenhausen,1
1754256,dbr:Ettore_Perazzoli,65,dbo:birthPlace,3573290,dbr:Milan,1
438337,dbr:Alex_Baroni,65,dbo:birthPlace,3573290,dbr:Milan,1
1909209,dbr:Francesco_Manca,65,dbo:birthPlace,3573290,dbr:Milan,1
2584942,dbr:Janne_Stark,65,dbo:birthPlace,2893095,dbr:Karlshamn,1
1986604,dbr:Gajanand_Singh,65,dbo:birthPlace,815667,dbr:Berbice,1
2024854,dbr:Geordie_Greig,65,dbo:birthPlace,4788746,dbr:South_London,1
2077936,"dbr:Gilbert_de_Clare,_7th_Earl_of_Gloucester",65,dbo:birthPlace,1183120,"dbr:Christchurch,_Dorset",1
3523946,dbr:Michael_Greco_(actor),65,dbo:birthPlace,1588844,dbr:Dunbar,1
2915876,dbr:Keith_Greene,65,dbo:birthPlace,3139240,dbr:Leytonstone,1
1948994,dbr:Frederick_Tracy_Dent,65,dbo:birthPlace,5278763,dbr:Ulysses_S._Grant_National_Historic_Site,1
