sid,sub,pid,pred,oid,obj,class
365282,dbr:Agnes_Newton_Keith,167,dbo:deathPlace,3872554,"dbr:Oak_Bay,_British_Columbia",1
4399207,dbr:Robert_Knox_(sailor),167,dbo:deathPlace,4822600,dbr:St_Peter_le_Poer,1
2251967,dbr:Harry_H._Johnson,167,dbo:deathPlace,2935519,"dbr:Kerrville,_Texas",1
4933425,dbr:Sylvanus_Thayer,167,dbo:deathPlace,930499,"dbr:Braintree,_Massachusetts",1
1945827,dbr:Frederic_Baraga,167,dbo:deathPlace,3407132,"dbr:Marquette,_Michigan",1
2557847,dbr:James_H._Pomerene,167,dbo:deathPlace,1117385,"dbr:Chappaqua,_New_York",1
1004735,dbr:C._Paul_Jennewein,167,dbo:deathPlace,3068006,"dbr:Larchmont,_New_York",1
2691251,dbr:John_Augustine_Macdonald,167,dbo:deathPlace,1049070,dbr:Cardigan_(electoral_district),1
991404,dbr:Burton_Hatlen,167,dbo:deathPlace,748932,"dbr:Bangor,_Maine",1
4565550,dbr:Samuel_Swinton_Jacob,167,dbo:deathPlace,5477397,dbr:Weybridge,1
3718715,dbr:Nahum_Tate,167,dbo:deathPlace,4792566,dbr:Southwark,1
4799053,dbr:Speedy_Long,167,dbo:deathPlace,2625142,"dbr:Jena,_Louisiana",1
5316730,dbr:Valdemar_IV_of_Denmark,167,dbo:deathPlace,2179789,dbr:Gurre_Castle,1
5505862,dbr:William_Evershed,167,dbo:deathPlace,5536429,dbr:Wisborough_Green,1
1720759,dbr:Eric_Aumonier,167,dbo:deathPlace,666987,"dbr:Ashburton,_New_Zealand",1
450301,dbr:Alexander_William_Doniphan,167,dbo:deathPlace,4367748,"dbr:Richmond,_Missouri",1
5120026,"dbr:Thomas_Osborne,_1st_Duke_of_Leeds",167,dbo:deathPlace,1615517,dbr:Easton_Neston,1
5120740,dbr:Thomas_Price,167,dbo:deathPlace,3662484,dbr:Mount_Lofty,1
3212036,dbr:Lonnie_Pitchford,167,dbo:deathPlace,3138488,"dbr:Lexington,_Mississippi",1
5510339,dbr:William_Hicks_Jackson,167,dbo:deathPlace,799061,"dbr:Belle_Meade,_Tennessee",1
5500905,dbr:William_Beresford_Inglis,167,dbo:deathPlace,2913608,dbr:Keighley,1
2735211,dbr:John_Taylor_Coleridge,167,dbo:deathPlace,3947878,dbr:Ottery_St_Mary,1
5505318,dbr:William_Earl_Rowe,167,dbo:deathPlace,928435,dbr:Bradford_West_Gwillimbury,1
2250468,dbr:Harry_Calvert,167,dbo:deathPlace,3549457,dbr:Middle_Claydon,1
5412216,dbr:W._Arthur_Winstead,167,dbo:deathPlace,4110449,"dbr:Philadelphia,_Mississippi",1
651860,dbr:Arthur_Clarey,167,dbo:deathPlace,1875992,"dbr:Fitzroy,_Victoria",1
1248342,dbr:Coenwulf_of_Mercia,167,dbo:deathPlace,2346495,dbr:Holywell,1
1914897,dbr:Francisco_Ada,167,dbo:deathPlace,1994499,dbr:Garapan,1
1665550,dbr:Eleanor_Wilson_McAdoo,167,dbo:deathPlace,3639358,"dbr:Montecito,_California",1
3682896,dbr:Murilo_Mendes,167,dbo:deathPlace,3166380,dbr:Lisbon,1
4572464,dbr:Sancho_d'Avila,167,dbo:deathPlace,3166380,dbr:Lisbon,1
3408245,dbr:Marsden_Hartley,167,dbo:deathPlace,1681332,"dbr:Ellsworth,_Maine",1
825398,dbr:Bert_Lee,167,dbo:deathPlace,3199592,dbr:Llandudno,1
848800,dbr:Bill_Gunn_(writer),167,dbo:deathPlace,3865953,"dbr:Nyack,_New_York",1
4016487,dbr:Patricia_Robinson,167,dbo:deathPlace,1679679,dbr:Ellerslie_Park,1
3226293,dbr:Louis_Nels,167,dbo:deathPlace,3773071,dbr:Neuerburg,1
3081732,dbr:Laurence_Stallings,167,dbo:deathPlace,3972504,"dbr:Pacific_Palisades,_Los_Angeles",1
494094,dbr:Alvan_Fisher,167,dbo:deathPlace,1452153,"dbr:Dedham,_Massachusetts",1
1139327,dbr:Charlotte_von_Rothschild,167,dbo:deathPlace,2178019,dbr:Gunnersbury_Park,1
759332,dbr:Barney_F._Hajiro,167,dbo:deathPlace,5427957,"dbr:Waipahu,_Hawaii",1
4738218,"dbr:Sir_Anthony_de_Rothschild,_1st_Baronet",167,dbo:deathPlace,5547605,"dbr:Woolston,_Southampton",1
1543068,dbr:Domenico_Passignano,167,dbo:deathPlace,1882039,dbr:Florence,1
2707038,dbr:John_G._Sargent,167,dbo:deathPlace,3246320,"dbr:Ludlow_(village),_Vermont",1
3137917,dbr:Lewis_Vulliamy,167,dbo:deathPlace,1218230,dbr:Clapham_Common,1
2034553,dbr:George_Hastings_(American_politician),167,dbo:deathPlace,3662854,"dbr:Mount_Morris,_New_York",1
4354213,dbr:Richard_Blain,167,dbo:deathPlace,930978,dbr:Brampton,1
2254957,dbr:Harry_Southall,167,dbo:deathPlace,4066116,dbr:Pensnett,1
2694320,dbr:John_Bowen_(colonist),167,dbo:deathPlace,2434949,dbr:Ilfracombe,1
4756915,dbr:Smilin'_Jack_Smith,167,dbo:deathPlace,5475831,"dbr:Westlake_Village,_California",1
4023807,dbr:Patsy_Montana,167,dbo:deathPlace,4569103,"dbr:San_Jacinto,_California",1
5117296,dbr:Thomas_Kingsmill_Abbott,167,dbo:deathPlace,2959220,dbr:Killiney,1
5120634,dbr:Thomas_Pope,167,dbo:deathPlace,1230395,dbr:Clerkenwell,1
4408239,dbr:Robert_Williams_Buchanan,167,dbo:deathPlace,4882684,dbr:Streatham,1
835920,dbr:Bhajan_Lal,167,dbo:deathPlace,2333906,dbr:Hisar_(Lok_Sabha_constituency),1
3138286,dbr:Lex_Hixon,167,dbo:deathPlace,4382288,"dbr:Riverdale,_Bronx",1
655951,dbr:Arthur_Severn,167,dbo:deathPlace,4826627,"dbr:Stainforth,_South_Yorkshire",1
1552855,dbr:Donald_Forster,167,dbo:deathPlace,4816831,dbr:St._Michael's_Hospital_(Toronto),1
449895,dbr:Alexander_Tormasov,167,dbo:deathPlace,3654296,dbr:Moscow_Governorate,1
2740133,dbr:John_Wright_(Tasmanian_politician),167,dbo:deathPlace,5278567,"dbr:Ulverstone,_Tasmania",1
4933992,dbr:Sylvia_Robinson,167,dbo:deathPlace,4632257,"dbr:Secaucus,_New_Jersey",1
3465959,dbr:Max_Abramovitz,167,dbo:deathPlace,4181103,"dbr:Pound_Ridge,_New_York",1
2775699,dbr:Joseph_Papin,167,dbo:deathPlace,3034701,"dbr:L'Assomption,_Quebec",1
1948923,dbr:Frederick_Tate,167,dbo:deathPlace,3269262,"dbr:Lyndhurst,_Hampshire",1
5509835,dbr:William_Henry_Fancourt_Mitchell,167,dbo:deathPlace,757355,"dbr:Barfold,_Victoria",1
460952,dbr:Alfred_Gilpin_Jones,167,dbo:deathPlace,2218318,dbr:Halifax_(electoral_district),1
1130830,dbr:Charles_Q._Tirrell,167,dbo:deathPlace,3739661,"dbr:Natick,_Massachusetts",1
4852440,dbr:Stephen_Barlow_(Pennsylvania),167,dbo:deathPlace,3480167,"dbr:Meadville,_Pennsylvania",1
4779206,dbr:Sonya_Noskowiak,167,dbo:deathPlace,2151261,"dbr:Greenbrae,_California",1
5522745,dbr:William_W._Ellsberry,167,dbo:deathPlace,2048369,"dbr:Georgetown,_Ohio",1
4362200,dbr:Richard_Nolte,167,dbo:deathPlace,2231281,"dbr:Hanover,_New_Hampshire",1
1234170,dbr:Clinton_Howard_Swindle,167,dbo:deathPlace,4857814,"dbr:Stephenville,_Texas",1
1494393,dbr:Diamantina_Bowen,167,dbo:deathPlace,831009,dbr:Bethnal_Green,1
1413931,dbr:David_Brydie_Mitchell,167,dbo:deathPlace,3579497,"dbr:Milledgeville,_Georgia",1
2372932,"dbr:Hubert_de_Burgh,_1st_Earl_of_Kent",167,dbo:deathPlace,751123,dbr:Banstead,1
3118214,dbr:Leonard_W._Doob,167,dbo:deathPlace,2221899,"dbr:Hamden,_Connecticut",1
2771361,dbr:Joseph_Demarco,167,dbo:deathPlace,1294962,dbr:Cospicua,1
504520,dbr:Amelia_Elizabeth_Walden_Award,167,dbo:deathPlace,5476537,"dbr:Westport,_Connecticut",1
1951156,dbr:Fredy_Perlman,167,dbo:deathPlace,2297441,dbr:Henry_Ford_Hospital,1
2929713,dbr:Kenny_Baker_(fiddler),167,dbo:deathPlace,1989310,"dbr:Gallatin,_Tennessee",1
3759477,dbr:Neil_S._McCarthy,167,dbo:deathPlace,2120968,dbr:Good_Samaritan_Hospital_(Los_Angeles),1
2077936,"dbr:Gilbert_de_Clare,_7th_Earl_of_Gloucester",167,dbo:deathPlace,3635326,dbr:Monmouth_Castle,1
2508200,dbr:Ivy_Weber,167,dbo:deathPlace,1030103,"dbr:Camberwell,_Victoria",1
3254494,dbr:Luis_Ricardo_Falero,167,dbo:deathPlace,5293278,dbr:University_College_Hospital,1
2551664,dbr:James_Black_(blacksmith),167,dbo:deathPlace,5450687,"dbr:Washington,_Arkansas",1
2095655,dbr:Gladys_Morgan,167,dbo:deathPlace,5551200,dbr:Worthing,1
2776966,dbr:Joseph_Strutt_(engraver_and_antiquary),167,dbo:deathPlace,5552915,dbr:Writtle,1
301583,dbr:Aaron_Olmsted,167,dbo:deathPlace,1612742,"dbr:East_Hartford,_Connecticut",1
1679613,dbr:Ellenor_Fenn,167,dbo:deathPlace,1478588,dbr:Dereham,1
921741,dbr:Bouvier_Beale,167,dbo:deathPlace,2097863,"dbr:Glen_Cove,_New_York",1
654442,dbr:Arthur_Loomis_Harmon,167,dbo:deathPlace,5484117,"dbr:White_Plains,_New_York",1
698750,dbr:Aurelius_Battaglia,167,dbo:deathPlace,4207187,"dbr:Provincetown,_Massachusetts",1
5522634,dbr:William_Vincent_Legge,167,dbo:deathPlace,1325035,dbr:Cullenswood,1
2481939,dbr:Isaac_H._Taylor,167,dbo:deathPlace,2256972,"dbr:Hartville,_Ohio",1
2691382,dbr:John_B._Bennett,167,dbo:deathPlace,1154725,"dbr:Chevy_Chase,_Maryland",1
653841,dbr:Arthur_Jewitt,167,dbo:deathPlace,2269507,dbr:Headington,1
3493557,dbr:Melford_Okilo,167,dbo:deathPlace,5584406,dbr:Yenagoa,1
895029,dbr:Bobby_Poe,167,dbo:deathPlace,2163429,"dbr:Grove,_Oklahoma",1
3432185,dbr:Masakazu_Yoshizawa,167,dbo:deathPlace,4568787,dbr:San_Gabriel_Valley,1
4358134,"dbr:Richard_Grosvenor,_1st_Earl_Grosvenor",167,dbo:deathPlace,1610590,dbr:Earls_Court,1
2816845,dbr:Julanne_Johnston,167,dbo:deathPlace,2162697,dbr:Grosse_Pointe,1
3368664,dbr:Marguerite_de_Angeli,167,dbo:deathPlace,5472473,dbr:West_Philadelphia,1
2630632,dbr:Jeremiah_Wood,167,dbo:deathPlace,2288376,"dbr:Hempstead,_New_York",1
316932,dbr:Abner_Wimberly,167,dbo:deathPlace,3872857,"dbr:Oak_Ridge,_Louisiana",1
2563378,dbr:James_Morris_(Canada_West_politician),167,dbo:deathPlace,958060,dbr:Brockville,1
2554958,"dbr:James_Douglas,_9th_Earl_of_Douglas",167,dbo:deathPlace,3158501,dbr:Lindores_Abbey,1
1374972,dbr:Daniel_Keefe,167,dbo:deathPlace,1682286,"dbr:Elmhurst,_Illinois",1
2863196,dbr:Kae_Sumner_Einfeldt,167,dbo:deathPlace,1045092,"dbr:Capitola,_California",1
2251816,dbr:Harry_Gosling,167,dbo:deathPlace,5245569,dbr:Twickenham,1
5501120,dbr:William_Blackall_Simonds,167,dbo:deathPlace,3987420,dbr:Pangbourne,1
4857055,dbr:Stephen_Symonds_Foster,167,dbo:deathPlace,3145060,dbr:Liberty_Farm,1
3375752,dbr:Marie_Kendall,167,dbo:deathPlace,1218221,dbr:Clapham,1
1772207,dbr:Evelyn_Barron,167,dbo:deathPlace,2385469,"dbr:Hurstville,_New_South_Wales",1
5510707,dbr:William_Hounsell,167,dbo:deathPlace,951421,dbr:Bridport,1
3653483,dbr:Morton_Deyo,167,dbo:deathPlace,2977264,"dbr:Kittery_Point,_Maine",1
2306200,dbr:Herbert_Bostock,167,dbo:deathPlace,2436621,dbr:Ilkeston,1
5114048,dbr:Thomas_Gaddis,167,dbo:deathPlace,5285379,"dbr:Union_Township,_Fayette_County,_Ohio",1
4541983,dbr:Sakthan_Thampuran,167,dbo:deathPlace,5129009,dbr:Thrissur,1
463070,dbr:Alfred_William_Howitt,167,dbo:deathPlace,736649,dbr:Bairnsdale,1
648787,dbr:Art_Murakowski,167,dbo:deathPlace,2224703,"dbr:Hammond,_Indiana",1
2817278,dbr:Jules_Eichorn,167,dbo:deathPlace,4316441,"dbr:Redwood_City,_California",1
2728139,dbr:John_Purdy_(chess_player),167,dbo:deathPlace,4978340,"dbr:Taree,_New_South_Wales",1
1676848,dbr:Elizabeth_O'Conner,167,dbo:deathPlace,683154,"dbr:Atherton,_Queensland",1
5508302,dbr:William_H._Armstrong,167,dbo:deathPlace,2931420,"dbr:Kent,_Connecticut",1
2689288,dbr:John_A._Whitaker,167,dbo:deathPlace,4489777,"dbr:Russellville,_Kentucky",1
3630223,dbr:Molly_Pitcher,167,dbo:deathPlace,1055973,"dbr:Carlisle,_Pennsylvania",1
3221107,dbr:Lotte_Jacobi,167,dbo:deathPlace,1453968,"dbr:Deering,_New_Hampshire",1
365282,dbr:Agnes_Newton_Keith,167,dbo:deathPlace,4382288,"dbr:Riverdale,_Bronx",0
365282,dbr:Agnes_Newton_Keith,167,dbo:deathPlace,3739661,"dbr:Natick,_Massachusetts",0
365282,dbr:Agnes_Newton_Keith,167,dbo:deathPlace,2162697,dbr:Grosse_Pointe,0
4399207,dbr:Robert_Knox_(sailor),167,dbo:deathPlace,1681332,"dbr:Ellsworth,_Maine",0
4399207,dbr:Robert_Knox_(sailor),167,dbo:deathPlace,3865953,"dbr:Nyack,_New_York",0
4399207,dbr:Robert_Knox_(sailor),167,dbo:deathPlace,2913608,dbr:Keighley,0
2251967,dbr:Harry_H._Johnson,167,dbo:deathPlace,1045092,"dbr:Capitola,_California",0
2251967,dbr:Harry_H._Johnson,167,dbo:deathPlace,5477397,dbr:Weybridge,0
2251967,dbr:Harry_H._Johnson,167,dbo:deathPlace,930499,"dbr:Braintree,_Massachusetts",0
4933425,dbr:Sylvanus_Thayer,167,dbo:deathPlace,1681332,"dbr:Ellsworth,_Maine",0
4933425,dbr:Sylvanus_Thayer,167,dbo:deathPlace,4792566,dbr:Southwark,0
4933425,dbr:Sylvanus_Thayer,167,dbo:deathPlace,4822600,dbr:St_Peter_le_Poer,0
1945827,dbr:Frederic_Baraga,167,dbo:deathPlace,736649,dbr:Bairnsdale,0
1945827,dbr:Frederic_Baraga,167,dbo:deathPlace,2163429,"dbr:Grove,_Oklahoma",0
1945827,dbr:Frederic_Baraga,167,dbo:deathPlace,4489777,"dbr:Russellville,_Kentucky",0
2557847,dbr:James_H._Pomerene,167,dbo:deathPlace,3480167,"dbr:Meadville,_Pennsylvania",0
2557847,dbr:James_H._Pomerene,167,dbo:deathPlace,2434949,dbr:Ilfracombe,0
2557847,dbr:James_H._Pomerene,167,dbo:deathPlace,4568787,dbr:San_Gabriel_Valley,0
1004735,dbr:C._Paul_Jennewein,167,dbo:deathPlace,1679679,dbr:Ellerslie_Park,0
1004735,dbr:C._Paul_Jennewein,167,dbo:deathPlace,4110449,"dbr:Philadelphia,_Mississippi",0
1004735,dbr:C._Paul_Jennewein,167,dbo:deathPlace,2162697,dbr:Grosse_Pointe,0
2691251,dbr:John_Augustine_Macdonald,167,dbo:deathPlace,3145060,dbr:Liberty_Farm,0
2691251,dbr:John_Augustine_Macdonald,167,dbo:deathPlace,5551200,dbr:Worthing,0
2691251,dbr:John_Augustine_Macdonald,167,dbo:deathPlace,5129009,dbr:Thrissur,0
991404,dbr:Burton_Hatlen,167,dbo:deathPlace,1117385,"dbr:Chappaqua,_New_York",0
991404,dbr:Burton_Hatlen,167,dbo:deathPlace,4882684,dbr:Streatham,0
991404,dbr:Burton_Hatlen,167,dbo:deathPlace,3138488,"dbr:Lexington,_Mississippi",0
4565550,dbr:Samuel_Swinton_Jacob,167,dbo:deathPlace,2231281,"dbr:Hanover,_New_Hampshire",0
4565550,dbr:Samuel_Swinton_Jacob,167,dbo:deathPlace,5584406,dbr:Yenagoa,0
4565550,dbr:Samuel_Swinton_Jacob,167,dbo:deathPlace,3872857,"dbr:Oak_Ridge,_Louisiana",0
3718715,dbr:Nahum_Tate,167,dbo:deathPlace,4207187,"dbr:Provincetown,_Massachusetts",0
3718715,dbr:Nahum_Tate,167,dbo:deathPlace,1055973,"dbr:Carlisle,_Pennsylvania",0
3718715,dbr:Nahum_Tate,167,dbo:deathPlace,3407132,"dbr:Marquette,_Michigan",0
4799053,dbr:Speedy_Long,167,dbo:deathPlace,3662484,dbr:Mount_Lofty,0
4799053,dbr:Speedy_Long,167,dbo:deathPlace,5293278,dbr:University_College_Hospital,0
4799053,dbr:Speedy_Long,167,dbo:deathPlace,1453968,"dbr:Deering,_New_Hampshire",0
5316730,dbr:Valdemar_IV_of_Denmark,167,dbo:deathPlace,2297441,dbr:Henry_Ford_Hospital,0
5316730,dbr:Valdemar_IV_of_Denmark,167,dbo:deathPlace,5584406,dbr:Yenagoa,0
5316730,dbr:Valdemar_IV_of_Denmark,167,dbo:deathPlace,1989310,"dbr:Gallatin,_Tennessee",0
5505862,dbr:William_Evershed,167,dbo:deathPlace,4569103,"dbr:San_Jacinto,_California",0
5505862,dbr:William_Evershed,167,dbo:deathPlace,4382288,"dbr:Riverdale,_Bronx",0
5505862,dbr:William_Evershed,167,dbo:deathPlace,1049070,dbr:Cardigan_(electoral_district),0
1720759,dbr:Eric_Aumonier,167,dbo:deathPlace,2231281,"dbr:Hanover,_New_Hampshire",0
1720759,dbr:Eric_Aumonier,167,dbo:deathPlace,1325035,dbr:Cullenswood,0
1720759,dbr:Eric_Aumonier,167,dbo:deathPlace,4489777,"dbr:Russellville,_Kentucky",0
450301,dbr:Alexander_William_Doniphan,167,dbo:deathPlace,2959220,dbr:Killiney,0
450301,dbr:Alexander_William_Doniphan,167,dbo:deathPlace,1030103,"dbr:Camberwell,_Victoria",0
450301,dbr:Alexander_William_Doniphan,167,dbo:deathPlace,3872554,"dbr:Oak_Bay,_British_Columbia",0
5120026,"dbr:Thomas_Osborne,_1st_Duke_of_Leeds",167,dbo:deathPlace,4978340,"dbr:Taree,_New_South_Wales",0
5120026,"dbr:Thomas_Osborne,_1st_Duke_of_Leeds",167,dbo:deathPlace,1994499,dbr:Garapan,0
5120026,"dbr:Thomas_Osborne,_1st_Duke_of_Leeds",167,dbo:deathPlace,3662484,dbr:Mount_Lofty,0
5120740,dbr:Thomas_Price,167,dbo:deathPlace,2436621,dbr:Ilkeston,0
5120740,dbr:Thomas_Price,167,dbo:deathPlace,5472473,dbr:West_Philadelphia,0
5120740,dbr:Thomas_Price,167,dbo:deathPlace,3549457,dbr:Middle_Claydon,0
3212036,dbr:Lonnie_Pitchford,167,dbo:deathPlace,2935519,"dbr:Kerrville,_Texas",0
3212036,dbr:Lonnie_Pitchford,167,dbo:deathPlace,3480167,"dbr:Meadville,_Pennsylvania",0
3212036,dbr:Lonnie_Pitchford,167,dbo:deathPlace,3872554,"dbr:Oak_Bay,_British_Columbia",0
5510339,dbr:William_Hicks_Jackson,167,dbo:deathPlace,5484117,"dbr:White_Plains,_New_York",0
5510339,dbr:William_Hicks_Jackson,167,dbo:deathPlace,1154725,"dbr:Chevy_Chase,_Maryland",0
5510339,dbr:William_Hicks_Jackson,167,dbo:deathPlace,3480167,"dbr:Meadville,_Pennsylvania",0
5500905,dbr:William_Beresford_Inglis,167,dbo:deathPlace,3166380,dbr:Lisbon,0
5500905,dbr:William_Beresford_Inglis,167,dbo:deathPlace,2385469,"dbr:Hurstville,_New_South_Wales",0
5500905,dbr:William_Beresford_Inglis,167,dbo:deathPlace,2218318,dbr:Halifax_(electoral_district),0
2735211,dbr:John_Taylor_Coleridge,167,dbo:deathPlace,3158501,dbr:Lindores_Abbey,0
2735211,dbr:John_Taylor_Coleridge,167,dbo:deathPlace,1045092,"dbr:Capitola,_California",0
2735211,dbr:John_Taylor_Coleridge,167,dbo:deathPlace,2231281,"dbr:Hanover,_New_Hampshire",0
5505318,dbr:William_Earl_Rowe,167,dbo:deathPlace,5475831,"dbr:Westlake_Village,_California",0
5505318,dbr:William_Earl_Rowe,167,dbo:deathPlace,951421,dbr:Bridport,0
5505318,dbr:William_Earl_Rowe,167,dbo:deathPlace,930978,dbr:Brampton,0
2250468,dbr:Harry_Calvert,167,dbo:deathPlace,2162697,dbr:Grosse_Pointe,0
2250468,dbr:Harry_Calvert,167,dbo:deathPlace,3068006,"dbr:Larchmont,_New_York",0
2250468,dbr:Harry_Calvert,167,dbo:deathPlace,2935519,"dbr:Kerrville,_Texas",0
5412216,dbr:W._Arthur_Winstead,167,dbo:deathPlace,2297441,dbr:Henry_Ford_Hospital,0
