bucket,sid,sub,pid,pred,oid,obj,class
3-9,3429567,dbr:Maryon_Lane,65,dbo:birthPlace,3734171,dbr:Natal_Province,1
3-9,3429567,dbr:Maryon_Lane,65,dbo:birthPlace,1335256,dbr:Cyprus,0
3-9,1217525,dbr:Claire_Loewenfeld,65,dbo:birthPlace,817795,dbr:Berlin,1
3-9,1217525,dbr:Claire_Loewenfeld,65,dbo:birthPlace,975910,dbr:Buckinghamshire,0
3-9,2551910,dbr:James_Boughtwood_Comber,65,dbo:birthPlace,1997867,dbr:Garlieston,1
3-9,2551910,dbr:James_Boughtwood_Comber,65,dbo:birthPlace,4790259,dbr:Southampton,0
3-9,1673627,dbr:Elisabeth_Alida_Haanen,65,dbo:birthPlace,5306574,dbr:Utrecht,1
3-9,1673627,dbr:Elisabeth_Alida_Haanen,65,dbo:birthPlace,516437,dbr:Amsterdam,0
3-9,4116043,dbr:Philippe_Mouskes,65,dbo:birthPlace,2067202,dbr:Ghent,1
3-9,4116043,dbr:Philippe_Mouskes,65,dbo:birthPlace,5202078,dbr:Tournai,0
3-9,655713,dbr:Arthur_Rose_Eldred,65,dbo:birthPlace,960485,dbr:Brooklyn,1
3-9,655713,dbr:Arthur_Rose_Eldred,65,dbo:birthPlace,1229639,"dbr:Clementon,_New_Jersey",0
3-9,2035236,dbr:George_Hopkins_Williams_II,65,dbo:birthPlace,1962564,"dbr:Frost,_Texas",1
3-9,2035236,dbr:George_Hopkins_Williams_II,65,dbo:birthPlace,1357141,dbr:Dallas,0
3-9,2223657,dbr:Hamilton_Revelle,65,dbo:birthPlace,2074276,dbr:Gibraltar,1
3-9,2223657,dbr:Hamilton_Revelle,65,dbo:birthPlace,1906664,dbr:France,0
3-9,4133936,dbr:Pieter_Withoos,65,dbo:birthPlace,508995,dbr:Amersfoort,1
3-9,4133936,dbr:Pieter_Withoos,65,dbo:birthPlace,516437,dbr:Amsterdam,0
3-9,3338759,dbr:Manuel_Guimarães,65,dbo:birthPlace,406732,dbr:Albergaria-a-Velha,1
3-9,3338759,dbr:Manuel_Guimarães,65,dbo:birthPlace,3166380,dbr:Lisbon,0
3-9,2664587,dbr:Jo_Herbst,65,dbo:birthPlace,817795,dbr:Berlin,1
3-9,2664587,dbr:Jo_Herbst,65,dbo:birthPlace,5470507,dbr:West_Berlin,0
3-9,608131,dbr:António_Rodrigo_Pinto_da_Silva,65,dbo:birthPlace,4176405,dbr:Porto,1
3-9,608131,dbr:António_Rodrigo_Pinto_da_Silva,65,dbo:birthPlace,3166380,dbr:Lisbon,0
3-9,5588607,dbr:Yevgeny_Ostashev,65,dbo:birthPlace,1668220,dbr:Elektrougli,1
