sid,sub,pid,pred,oid,obj,year,class
271704,dbr:7th_Heaven_(1927_film),178,dbo:director,1922571,dbr:Frank_Borzage,1927/28,1.0
5246538,dbr:Two_Arabian_Knights,178,dbo:director,3137484,dbr:Lewis_Milestone,1927/28,1.0
477261,dbr:All_Quiet_on_the_Western_Front_(1930_film),178,dbo:director,3137484,dbr:Lewis_Milestone,1929/30,1.0
5038724,dbr:The_Divine_Lady,178,dbo:director,1926685,dbr:Frank_Lloyd,1928/29,1.0
1087290,dbr:Cavalcade_(1933_film),178,dbo:director,1926685,dbr:Frank_Lloyd,1932/33,1.0
2495295,dbr:It_Happened_One_Night,178,dbo:director,1923036,dbr:Frank_Capra,1934,1.0
3669342,dbr:Mr._Deeds_Goes_to_Town,178,dbo:director,1923036,dbr:Frank_Capra,1936,1.0
5053704,dbr:The_Informer_(1935_film),178,dbo:director,2706079,dbr:John_Ford,1935,1.0
5048299,dbr:The_Grapes_of_Wrath_(film),178,dbo:director,2706079,dbr:John_Ford,1940,1.0
2365295,dbr:How_Green_Was_My_Valley_(film),178,dbo:director,2706079,dbr:John_Ford,1941,1.0
5074643,dbr:The_Quiet_Man,178,dbo:director,2706079,dbr:John_Ford,1952,1.0
5023341,dbr:The_Awful_Truth,178,dbo:director,3114757,dbr:Leo_McCarey,1937,1.0
2113271,dbr:Going_My_Way,178,dbo:director,3114757,dbr:Leo_McCarey,1944,1.0
2118213,dbr:Gone_with_the_Wind_(film),178,dbo:director,5355076,dbr:Victor_Fleming,1939,1.0
3670509,dbr:Mrs._Miniver_(film),178,dbo:director,5524098,dbr:William_Wyler,1942,1.0
5025469,dbr:The_Best_Years_of_Our_Lives,178,dbo:director,5524098,dbr:William_Wyler,1946,1.0
801446,dbr:Ben-Hur_(1959_film),178,dbo:director,5524098,dbr:William_Wyler,1959,1.0
1075883,dbr:Casablanca_(film),178,dbo:director,3521295,dbr:Michael_Curtiz,1943,1.0
5060734,dbr:The_Lost_Weekend_(film),178,dbo:director,859075,dbr:Billy_Wilder,1945,1.0
5022124,dbr:The_Apartment,178,dbo:director,859075,dbr:Billy_Wilder,1960,1.0
5088185,dbr:The_Treasure_of_the_Sierra_Madre_(film),178,dbo:director,2713121,dbr:John_Huston,1948,1.0
294189,dbr:A_Letter_to_Three_Wives,178,dbo:director,2773975,dbr:Joseph_L._Mankiewicz,1949,1.0
476177,dbr:All_About_Eve,178,dbo:director,2773975,dbr:Joseph_L._Mankiewicz,1950,1.0
295808,dbr:A_Place_in_the_Sun_(film),178,dbo:director,2043269,dbr:George_Stevens,1951,1.0
2073531,dbr:Giant_(1956_film),178,dbo:director,2043269,dbr:George_Stevens,1956,1.0
1961549,dbr:From_Here_to_Eternity,178,dbo:director,1944581,dbr:Fred_Zinnemann,1953,1.0
294716,dbr:A_Man_for_All_Seasons_(1966_film),178,dbo:director,1944581,dbr:Fred_Zinnemann,1966,1.0
3914216,dbr:On_the_Waterfront,178,dbo:director,1670976,dbr:Elia_Kazan,1954,1.0
3420508,dbr:Marty_(film),178,dbo:director,1459329,dbr:Delbert_Mann,1955,1.0
5029407,dbr:The_Bridge_on_the_River_Kwai,178,dbo:director,1424344,dbr:David_Lean,1957,1.0
3087225,dbr:Lawrence_of_Arabia_(film),178,dbo:director,1424344,dbr:David_Lean,1962,1.0
2075856,dbr:Gigi_(1958_film),178,dbo:director,5372647,dbr:Vincente_Minnelli,1958,1.0
2633828,dbr:Jerome_Robbins,178,dbo:director,4408370,dbr:Robert_Wise,1961,1.0
5082842,dbr:The_Sound_of_Music_(film),178,dbo:director,4408370,dbr:Robert_Wise,1965,1.0
3692845,dbr:My_Fair_Lady_(film),178,dbo:director,2030636,dbr:George_Cukor,1964,1.0
5048159,dbr:The_Graduate,178,dbo:director,3565270,dbr:Mike_Nichols,1967,1.0
3903091,dbr:Oliver!_(film),178,dbo:director,1069201,dbr:Carol_Reed,1968,1.0
3550926,dbr:Midnight_Cowboy,178,dbo:director,2731518,dbr:John_Schlesinger,1969,1.0
4024393,dbr:Patton_(film),178,dbo:director,1932578,dbr:Franklin_J._Schaffner,1970,1.0
5045180,dbr:The_French_Connection_(film),178,dbo:director,5506953,dbr:William_Friedkin,1971,1.0
5084082,dbr:The_Sting,178,dbo:director,2041881,dbr:George_Roy_Hill,1973,1.0
5047433,dbr:The_Godfather_Part_II,178,dbo:director,1912017,dbr:Francis_Ford_Coppola,1974,1.0
4420029,dbr:Rocky,178,dbo:director,2706896,dbr:John_G._Avildsen,1976,1.0
582205,dbr:Annie_Hall,178,dbo:director,5547224,dbr:Woody_Allen,1977,1.0
5037517,dbr:The_Deer_Hunter,178,dbo:director,3520660,dbr:Michael_Cimino,1978,1.0
3006133,dbr:Kramer_vs._Kramer,178,dbo:director,4390563,dbr:Robert_Benton,1979,1.0
3928951,dbr:Ordinary_People,178,dbo:director,4404167,dbr:Robert_Redford,1980,1.0
4316204,dbr:Reds_(film),178,dbo:director,5447945,dbr:Warren_Beatty,1981,1.0
1992154,dbr:Gandhi_(film),178,dbo:director,4353550,dbr:Richard_Attenborough,1982,1.0
5005422,dbr:Terms_of_Endearment,178,dbo:director,2560448,dbr:James_L._Brooks,1983,1.0
497411,dbr:Amadeus_(film),178,dbo:director,3582090,dbr:Miloš_Forman,1984,1.0
3953169,dbr:Out_of_Africa_(film),178,dbo:director,4931692,dbr:Sydney_Pollack,1985,1.0
4150628,dbr:Platoon_(film),178,dbo:director,3904692,dbr:Oliver_Stone,1986,1.0
914835,dbr:Born_on_the_Fourth_of_July_(film),178,dbo:director,3904692,dbr:Oliver_Stone,1989,1.0
5057390,dbr:The_Last_Emperor,178,dbo:director,821507,dbr:Bernardo_Bertolucci,1987,1.0
4270573,dbr:Rain_Man,178,dbo:director,762857,dbr:Barry_Levinson,1988,1.0
1367310,dbr:Dances_with_Wolves,178,dbo:director,2938746,dbr:Kevin_Costner,1990,1.0
5081149,dbr:The_Silence_of_the_Lambs_(film),178,dbo:director,2751545,dbr:Jonathan_Demme,1991,1.0
5283547,dbr:Unforgiven,178,dbo:director,1233755,dbr:Clint_Eastwood,1992,1.0
3580286,dbr:Million_Dollar_Baby,178,dbo:director,1233755,dbr:Clint_Eastwood,2004,1.0
1898921,dbr:Forrest_Gump,178,dbo:director,4408713,dbr:Robert_Zemeckis,1994,1.0
935661,dbr:Braveheart,178,dbo:director,3490891,dbr:Mel_Gibson,1995,1.0
5041120,dbr:The_English_Patient_(film),178,dbo:director,591436,dbr:Anthony_Minghella,1996,1.0
5152002,dbr:Titanic_(1997_film),178,dbo:director,2552896,dbr:James_Cameron,1997,1.0
4601424,dbr:Saving_Private_Ryan,178,dbo:director,4870455,dbr:Steven_Spielberg,1998,1.0
505736,dbr:American_Beauty_(1999_film),178,dbo:director,4553555,dbr:Sam_Mendes,1999,1.0
5208279,dbr:Traffic_(2000_film),178,dbo:director,4870441,dbr:Steven_Soderbergh,2000,1.0
291239,dbr:A_Beautiful_Mind_(film),178,dbo:director,4446959,dbr:Ron_Howard,2001,1.0
5071844,dbr:The_Pianist_(2002_film),178,dbo:director,4441523,dbr:Roman_Polanski,2002,1.0
5060460,dbr:The_Lord_of_the_Rings:_The_Return_of_the_King,178,dbo:director,4088751,dbr:Peter_Jackson,2003,1.0
958548,dbr:Brokeback_Mountain,178,dbo:director,564781,dbr:Ang_Lee,2005,1.0
3148518,dbr:Life_of_Pi_(film),178,dbo:director,564781,dbr:Ang_Lee,2012,1.0
5037782,dbr:The_Departed,178,dbo:director,3417919,dbr:Martin_Scorsese,2006,1.0
3830021,dbr:No_Country_for_Old_Men_(film),178,dbo:director,1248193,dbr:Coen_brothers,2007,1.0
4755239,dbr:Slumdog_Millionaire,178,dbo:director,1385589,dbr:Danny_Boyle,2008,1.0
5052895,dbr:The_Hurt_Locker,178,dbo:director,2902312,dbr:Kathryn_Bigelow,2009,1.0
5022770,dbr:The_Artist_(film),178,dbo:director,3539326,dbr:Michel_Hazanavicius,2011,1.0
2145431,dbr:Gravity_(film),178,dbo:director,459128,dbr:Alfonso_Cuarón,2013,1.0
5246538,dbr:Two_Arabian_Knights,178,dbo:director,1922571,dbr:Frank_Borzage,1927/28,0.0
477261,dbr:All_Quiet_on_the_Western_Front_(1930_film),178,dbo:director,1922571,dbr:Frank_Borzage,1929/30,0.0
5038724,dbr:The_Divine_Lady,178,dbo:director,1922571,dbr:Frank_Borzage,1928/29,0.0
1087290,dbr:Cavalcade_(1933_film),178,dbo:director,1922571,dbr:Frank_Borzage,1932/33,0.0
2495295,dbr:It_Happened_One_Night,178,dbo:director,1922571,dbr:Frank_Borzage,1934,0.0
3669342,dbr:Mr._Deeds_Goes_to_Town,178,dbo:director,1922571,dbr:Frank_Borzage,1936,0.0
5053704,dbr:The_Informer_(1935_film),178,dbo:director,1922571,dbr:Frank_Borzage,1935,0.0
5048299,dbr:The_Grapes_of_Wrath_(film),178,dbo:director,1922571,dbr:Frank_Borzage,1940,0.0
2365295,dbr:How_Green_Was_My_Valley_(film),178,dbo:director,1922571,dbr:Frank_Borzage,1941,0.0
5074643,dbr:The_Quiet_Man,178,dbo:director,1922571,dbr:Frank_Borzage,1952,0.0
5023341,dbr:The_Awful_Truth,178,dbo:director,1922571,dbr:Frank_Borzage,1937,0.0
2113271,dbr:Going_My_Way,178,dbo:director,1922571,dbr:Frank_Borzage,1944,0.0
2118213,dbr:Gone_with_the_Wind_(film),178,dbo:director,1922571,dbr:Frank_Borzage,1939,0.0
3670509,dbr:Mrs._Miniver_(film),178,dbo:director,1922571,dbr:Frank_Borzage,1942,0.0
5025469,dbr:The_Best_Years_of_Our_Lives,178,dbo:director,1922571,dbr:Frank_Borzage,1946,0.0
801446,dbr:Ben-Hur_(1959_film),178,dbo:director,1922571,dbr:Frank_Borzage,1959,0.0
1075883,dbr:Casablanca_(film),178,dbo:director,1922571,dbr:Frank_Borzage,1943,0.0
5060734,dbr:The_Lost_Weekend_(film),178,dbo:director,1922571,dbr:Frank_Borzage,1945,0.0
5022124,dbr:The_Apartment,178,dbo:director,1922571,dbr:Frank_Borzage,1960,0.0
5088185,dbr:The_Treasure_of_the_Sierra_Madre_(film),178,dbo:director,1922571,dbr:Frank_Borzage,1948,0.0
294189,dbr:A_Letter_to_Three_Wives,178,dbo:director,1922571,dbr:Frank_Borzage,1949,0.0
476177,dbr:All_About_Eve,178,dbo:director,1922571,dbr:Frank_Borzage,1950,0.0
295808,dbr:A_Place_in_the_Sun_(film),178,dbo:director,1922571,dbr:Frank_Borzage,1951,0.0
2073531,dbr:Giant_(1956_film),178,dbo:director,1922571,dbr:Frank_Borzage,1956,0.0
1961549,dbr:From_Here_to_Eternity,178,dbo:director,1922571,dbr:Frank_Borzage,1953,0.0
294716,dbr:A_Man_for_All_Seasons_(1966_film),178,dbo:director,1922571,dbr:Frank_Borzage,1966,0.0
3914216,dbr:On_the_Waterfront,178,dbo:director,1922571,dbr:Frank_Borzage,1954,0.0
3420508,dbr:Marty_(film),178,dbo:director,1922571,dbr:Frank_Borzage,1955,0.0
5029407,dbr:The_Bridge_on_the_River_Kwai,178,dbo:director,1922571,dbr:Frank_Borzage,1957,0.0
3087225,dbr:Lawrence_of_Arabia_(film),178,dbo:director,1922571,dbr:Frank_Borzage,1962,0.0
2075856,dbr:Gigi_(1958_film),178,dbo:director,1922571,dbr:Frank_Borzage,1958,0.0
2633828,dbr:Jerome_Robbins,178,dbo:director,1922571,dbr:Frank_Borzage,1961,0.0
5082842,dbr:The_Sound_of_Music_(film),178,dbo:director,1922571,dbr:Frank_Borzage,1965,0.0
3692845,dbr:My_Fair_Lady_(film),178,dbo:director,1922571,dbr:Frank_Borzage,1964,0.0
5048159,dbr:The_Graduate,178,dbo:director,1922571,dbr:Frank_Borzage,1967,0.0
3903091,dbr:Oliver!_(film),178,dbo:director,1922571,dbr:Frank_Borzage,1968,0.0
3550926,dbr:Midnight_Cowboy,178,dbo:director,1922571,dbr:Frank_Borzage,1969,0.0
4024393,dbr:Patton_(film),178,dbo:director,1922571,dbr:Frank_Borzage,1970,0.0
5045180,dbr:The_French_Connection_(film),178,dbo:director,1922571,dbr:Frank_Borzage,1971,0.0
5084082,dbr:The_Sting,178,dbo:director,1922571,dbr:Frank_Borzage,1973,0.0
5047433,dbr:The_Godfather_Part_II,178,dbo:director,1922571,dbr:Frank_Borzage,1974,0.0
4420029,dbr:Rocky,178,dbo:director,1922571,dbr:Frank_Borzage,1976,0.0
582205,dbr:Annie_Hall,178,dbo:director,1922571,dbr:Frank_Borzage,1977,0.0
5037517,dbr:The_Deer_Hunter,178,dbo:director,1922571,dbr:Frank_Borzage,1978,0.0
3006133,dbr:Kramer_vs._Kramer,178,dbo:director,1922571,dbr:Frank_Borzage,1979,0.0
3928951,dbr:Ordinary_People,178,dbo:director,1922571,dbr:Frank_Borzage,1980,0.0
4316204,dbr:Reds_(film),178,dbo:director,1922571,dbr:Frank_Borzage,1981,0.0
