sid,sub,pid,pred,oid,obj,class
5448341,dbr:Warren_G._Harding,578,dbo:spouse,1882304,dbr:Florence_Harding,1.0
1028826,dbr:Calvin_Coolidge,578,dbo:spouse,2134565,dbr:Grace_Coolidge,1.0
2306951,dbr:Herbert_Hoover,578,dbo:spouse,3221941,dbr:Lou_Henry_Hoover,1.0
1932374,dbr:Franklin_D._Roosevelt,578,dbo:spouse,1665478,dbr:Eleanor_Roosevelt,1.0
2254632,dbr:Harry_S._Truman,578,dbo:spouse,828702,dbr:Bess_Truman,1.0
1596457,dbr:Dwight_D._Eisenhower,578,dbo:spouse,3324601,dbr:Mamie_Eisenhower,1.0
2704714,dbr:John_F._Kennedy,578,dbo:spouse,2535021,dbr:Jacqueline_Kennedy_Onassis,1.0
3269303,dbr:Lyndon_B._Johnson,578,dbo:spouse,3049283,dbr:Lady_Bird_Johnson,1.0
4362186,dbr:Richard_Nixon,578,dbo:spouse,4012613,dbr:Pat_Nixon,1.0
2053187,dbr:Gerald_Ford,578,dbo:spouse,832363,dbr:Betty_Ford,1.0
2656334,dbr:Jimmy_Carter,578,dbo:spouse,4456257,dbr:Rosalynn_Carter,1.0
4450187,dbr:Ronald_Reagan,578,dbo:spouse,3724593,dbr:Nancy_Reagan,1.0
2034183,dbr:George_H._W._Bush,578,dbo:spouse,753707,dbr:Barbara_Bush,1.0
847325,dbr:Bill_Clinton,578,dbo:spouse,2327072,dbr:Hillary_Clinton,1.0
2044778,dbr:George_W._Bush,578,dbo:spouse,3078814,dbr:Laura_Bush,1.0
752593,dbr:Barack_Obama,578,dbo:spouse,3542399,dbr:Michelle_Obama,1.0
1028826,dbr:Calvin_Coolidge,578,dbo:spouse,1882304,dbr:Florence_Harding,0.0
2306951,dbr:Herbert_Hoover,578,dbo:spouse,1882304,dbr:Florence_Harding,0.0
1932374,dbr:Franklin_D._Roosevelt,578,dbo:spouse,1882304,dbr:Florence_Harding,0.0
2254632,dbr:Harry_S._Truman,578,dbo:spouse,1882304,dbr:Florence_Harding,0.0
1596457,dbr:Dwight_D._Eisenhower,578,dbo:spouse,1882304,dbr:Florence_Harding,0.0
2704714,dbr:John_F._Kennedy,578,dbo:spouse,1882304,dbr:Florence_Harding,0.0
3269303,dbr:Lyndon_B._Johnson,578,dbo:spouse,1882304,dbr:Florence_Harding,0.0
4362186,dbr:Richard_Nixon,578,dbo:spouse,1882304,dbr:Florence_Harding,0.0
2053187,dbr:Gerald_Ford,578,dbo:spouse,1882304,dbr:Florence_Harding,0.0
2656334,dbr:Jimmy_Carter,578,dbo:spouse,1882304,dbr:Florence_Harding,0.0
4450187,dbr:Ronald_Reagan,578,dbo:spouse,1882304,dbr:Florence_Harding,0.0
2034183,dbr:George_H._W._Bush,578,dbo:spouse,1882304,dbr:Florence_Harding,0.0
847325,dbr:Bill_Clinton,578,dbo:spouse,1882304,dbr:Florence_Harding,0.0
2044778,dbr:George_W._Bush,578,dbo:spouse,1882304,dbr:Florence_Harding,0.0
752593,dbr:Barack_Obama,578,dbo:spouse,1882304,dbr:Florence_Harding,0.0
5448341,dbr:Warren_G._Harding,578,dbo:spouse,2134565,dbr:Grace_Coolidge,0.0
2306951,dbr:Herbert_Hoover,578,dbo:spouse,2134565,dbr:Grace_Coolidge,0.0
1932374,dbr:Franklin_D._Roosevelt,578,dbo:spouse,2134565,dbr:Grace_Coolidge,0.0
2254632,dbr:Harry_S._Truman,578,dbo:spouse,2134565,dbr:Grace_Coolidge,0.0
1596457,dbr:Dwight_D._Eisenhower,578,dbo:spouse,2134565,dbr:Grace_Coolidge,0.0
2704714,dbr:John_F._Kennedy,578,dbo:spouse,2134565,dbr:Grace_Coolidge,0.0
3269303,dbr:Lyndon_B._Johnson,578,dbo:spouse,2134565,dbr:Grace_Coolidge,0.0
4362186,dbr:Richard_Nixon,578,dbo:spouse,2134565,dbr:Grace_Coolidge,0.0
2053187,dbr:Gerald_Ford,578,dbo:spouse,2134565,dbr:Grace_Coolidge,0.0
2656334,dbr:Jimmy_Carter,578,dbo:spouse,2134565,dbr:Grace_Coolidge,0.0
4450187,dbr:Ronald_Reagan,578,dbo:spouse,2134565,dbr:Grace_Coolidge,0.0
2034183,dbr:George_H._W._Bush,578,dbo:spouse,2134565,dbr:Grace_Coolidge,0.0
847325,dbr:Bill_Clinton,578,dbo:spouse,2134565,dbr:Grace_Coolidge,0.0
2044778,dbr:George_W._Bush,578,dbo:spouse,2134565,dbr:Grace_Coolidge,0.0
752593,dbr:Barack_Obama,578,dbo:spouse,2134565,dbr:Grace_Coolidge,0.0
5448341,dbr:Warren_G._Harding,578,dbo:spouse,3221941,dbr:Lou_Henry_Hoover,0.0
1028826,dbr:Calvin_Coolidge,578,dbo:spouse,3221941,dbr:Lou_Henry_Hoover,0.0
1932374,dbr:Franklin_D._Roosevelt,578,dbo:spouse,3221941,dbr:Lou_Henry_Hoover,0.0
2254632,dbr:Harry_S._Truman,578,dbo:spouse,3221941,dbr:Lou_Henry_Hoover,0.0
1596457,dbr:Dwight_D._Eisenhower,578,dbo:spouse,3221941,dbr:Lou_Henry_Hoover,0.0
2704714,dbr:John_F._Kennedy,578,dbo:spouse,3221941,dbr:Lou_Henry_Hoover,0.0
3269303,dbr:Lyndon_B._Johnson,578,dbo:spouse,3221941,dbr:Lou_Henry_Hoover,0.0
4362186,dbr:Richard_Nixon,578,dbo:spouse,3221941,dbr:Lou_Henry_Hoover,0.0
2053187,dbr:Gerald_Ford,578,dbo:spouse,3221941,dbr:Lou_Henry_Hoover,0.0
2656334,dbr:Jimmy_Carter,578,dbo:spouse,3221941,dbr:Lou_Henry_Hoover,0.0
4450187,dbr:Ronald_Reagan,578,dbo:spouse,3221941,dbr:Lou_Henry_Hoover,0.0
2034183,dbr:George_H._W._Bush,578,dbo:spouse,3221941,dbr:Lou_Henry_Hoover,0.0
847325,dbr:Bill_Clinton,578,dbo:spouse,3221941,dbr:Lou_Henry_Hoover,0.0
2044778,dbr:George_W._Bush,578,dbo:spouse,3221941,dbr:Lou_Henry_Hoover,0.0
752593,dbr:Barack_Obama,578,dbo:spouse,3221941,dbr:Lou_Henry_Hoover,0.0
5448341,dbr:Warren_G._Harding,578,dbo:spouse,1665478,dbr:Eleanor_Roosevelt,0.0
1028826,dbr:Calvin_Coolidge,578,dbo:spouse,1665478,dbr:Eleanor_Roosevelt,0.0
2306951,dbr:Herbert_Hoover,578,dbo:spouse,1665478,dbr:Eleanor_Roosevelt,0.0
2254632,dbr:Harry_S._Truman,578,dbo:spouse,1665478,dbr:Eleanor_Roosevelt,0.0
1596457,dbr:Dwight_D._Eisenhower,578,dbo:spouse,1665478,dbr:Eleanor_Roosevelt,0.0
2704714,dbr:John_F._Kennedy,578,dbo:spouse,1665478,dbr:Eleanor_Roosevelt,0.0
3269303,dbr:Lyndon_B._Johnson,578,dbo:spouse,1665478,dbr:Eleanor_Roosevelt,0.0
4362186,dbr:Richard_Nixon,578,dbo:spouse,1665478,dbr:Eleanor_Roosevelt,0.0
2053187,dbr:Gerald_Ford,578,dbo:spouse,1665478,dbr:Eleanor_Roosevelt,0.0
2656334,dbr:Jimmy_Carter,578,dbo:spouse,1665478,dbr:Eleanor_Roosevelt,0.0
4450187,dbr:Ronald_Reagan,578,dbo:spouse,1665478,dbr:Eleanor_Roosevelt,0.0
2034183,dbr:George_H._W._Bush,578,dbo:spouse,1665478,dbr:Eleanor_Roosevelt,0.0
847325,dbr:Bill_Clinton,578,dbo:spouse,1665478,dbr:Eleanor_Roosevelt,0.0
2044778,dbr:George_W._Bush,578,dbo:spouse,1665478,dbr:Eleanor_Roosevelt,0.0
752593,dbr:Barack_Obama,578,dbo:spouse,1665478,dbr:Eleanor_Roosevelt,0.0
5448341,dbr:Warren_G._Harding,578,dbo:spouse,828702,dbr:Bess_Truman,0.0
1028826,dbr:Calvin_Coolidge,578,dbo:spouse,828702,dbr:Bess_Truman,0.0
2306951,dbr:Herbert_Hoover,578,dbo:spouse,828702,dbr:Bess_Truman,0.0
1932374,dbr:Franklin_D._Roosevelt,578,dbo:spouse,828702,dbr:Bess_Truman,0.0
1596457,dbr:Dwight_D._Eisenhower,578,dbo:spouse,828702,dbr:Bess_Truman,0.0
2704714,dbr:John_F._Kennedy,578,dbo:spouse,828702,dbr:Bess_Truman,0.0
3269303,dbr:Lyndon_B._Johnson,578,dbo:spouse,828702,dbr:Bess_Truman,0.0
4362186,dbr:Richard_Nixon,578,dbo:spouse,828702,dbr:Bess_Truman,0.0
2053187,dbr:Gerald_Ford,578,dbo:spouse,828702,dbr:Bess_Truman,0.0
2656334,dbr:Jimmy_Carter,578,dbo:spouse,828702,dbr:Bess_Truman,0.0
4450187,dbr:Ronald_Reagan,578,dbo:spouse,828702,dbr:Bess_Truman,0.0
2034183,dbr:George_H._W._Bush,578,dbo:spouse,828702,dbr:Bess_Truman,0.0
847325,dbr:Bill_Clinton,578,dbo:spouse,828702,dbr:Bess_Truman,0.0
2044778,dbr:George_W._Bush,578,dbo:spouse,828702,dbr:Bess_Truman,0.0
752593,dbr:Barack_Obama,578,dbo:spouse,828702,dbr:Bess_Truman,0.0
5448341,dbr:Warren_G._Harding,578,dbo:spouse,3324601,dbr:Mamie_Eisenhower,0.0
1028826,dbr:Calvin_Coolidge,578,dbo:spouse,3324601,dbr:Mamie_Eisenhower,0.0
2306951,dbr:Herbert_Hoover,578,dbo:spouse,3324601,dbr:Mamie_Eisenhower,0.0
1932374,dbr:Franklin_D._Roosevelt,578,dbo:spouse,3324601,dbr:Mamie_Eisenhower,0.0
2254632,dbr:Harry_S._Truman,578,dbo:spouse,3324601,dbr:Mamie_Eisenhower,0.0
2704714,dbr:John_F._Kennedy,578,dbo:spouse,3324601,dbr:Mamie_Eisenhower,0.0
3269303,dbr:Lyndon_B._Johnson,578,dbo:spouse,3324601,dbr:Mamie_Eisenhower,0.0
4362186,dbr:Richard_Nixon,578,dbo:spouse,3324601,dbr:Mamie_Eisenhower,0.0
