sid,sub,pid,pred,oid,obj,class
1872659,dbr:First_Battle_of_Bull_Run,57,dbo:battle,2480027,dbr:Irvin_McDowell,1
1872659,dbr:First_Battle_of_Bull_Run,57,dbo:battle,4403258,dbr:Robert_Patterson,1
1872659,dbr:First_Battle_of_Bull_Run,57,dbo:battle,3961609,dbr:P._G._T._Beauregard,1
1872659,dbr:First_Battle_of_Bull_Run,57,dbo:battle,2771628,dbr:Joseph_E._Johnston,1
775773,dbr:Battle_of_Fort_Sumter,57,dbo:battle,4389561,dbr:Robert_Anderson_(Civil_War),1
775773,dbr:Battle_of_Fort_Sumter,57,dbo:battle,3961609,dbr:P._G._T._Beauregard,1
780100,dbr:Battle_of_Wilson's_Creek,57,dbo:battle,3739183,dbr:Nathaniel_Lyon,1
780100,dbr:Battle_of_Wilson's_Creek,57,dbo:battle,4562243,dbr:Samuel_D._Sturgis,1
780100,dbr:Battle_of_Wilson's_Creek,57,dbo:battle,4858515,dbr:Sterling_Price,1
780100,dbr:Battle_of_Wilson's_Creek,57,dbo:battle,810804,dbr:Benjamin_McCulloch,1
780100,dbr:Battle_of_Wilson's_Creek,57,dbo:battle,3791027,dbr:Nicholas_Bartlett_Pearce,1
775737,dbr:Battle_of_Fort_Donelson,57,dbo:battle,5278757,dbr:Ulysses_S._Grant,1
775737,dbr:Battle_of_Fort_Donelson,57,dbo:battle,545296,dbr:Andrew_Hull_Foote,1
775737,dbr:Battle_of_Fort_Donelson,57,dbo:battle,2691443,dbr:John_B._Floyd,1
775737,dbr:Battle_of_Fort_Donelson,57,dbo:battle,2074873,dbr:Gideon_Johnson_Pillow,1
775737,dbr:Battle_of_Fort_Donelson,57,dbo:battle,4727165,dbr:Simon_Bolivar_Buckner,1
776391,dbr:Battle_of_Island_Number_Ten,57,dbo:battle,2727656,dbr:John_Pope_(military_officer),1
776391,dbr:Battle_of_Island_Number_Ten,57,dbo:battle,545296,dbr:Andrew_Hull_Foote,1
776391,dbr:Battle_of_Island_Number_Ten,57,dbo:battle,2725792,dbr:John_P._McCown,1
776391,dbr:Battle_of_Island_Number_Ten,57,dbo:battle,5522799,dbr:William_W._Mackall,1
778222,dbr:Battle_of_Pea_Ridge,57,dbo:battle,4565146,dbr:Samuel_Ryan_Curtis,1
778222,dbr:Battle_of_Pea_Ridge,57,dbo:battle,1610224,dbr:Earl_Van_Dorn,1
