sid,sub,pid,pred,oid,obj,class
324032,dbr:Accenture,309,dbo:keyPerson,4131773,dbr:Pierre_Nanterme,1
282155,dbr:ACE_Limited,309,dbo:keyPerson,1770287,dbr:Evan_G._Greenberg,1
344428,dbr:Aditya_Birla_Group,309,dbo:keyPerson,3018608,dbr:Kumar_Mangalam_Birla,1
346248,dbr:Adobe_Systems,309,dbo:keyPerson,4680292,dbr:Shantanu_Narayen,1
363385,dbr:Agenus,309,dbo:keyPerson,1998259,dbr:Garo_H._Armen,1
482911,dbr:Alliance_Boots,309,dbo:keyPerson,4845807,dbr:Stefano_Pessina,1
416771,dbr:Alcatel-Lucent,309,dbo:keyPerson,3538860,dbr:Michel_Combes,1
417207,dbr:Alcoa,309,dbo:keyPerson,2980182,dbr:Klaus_Kleinfeld,1
501552,dbr:Amazon.com,309,dbo:keyPerson,2617978,dbr:Jeff_Bezos,1
354302,dbr:Advanced_Micro_Devices,309,dbo:keyPerson,4455284,dbr:Rory_Read,1
506355,dbr:American_Express,309,dbo:keyPerson,2927693,dbr:Kenneth_Chenault,1
505496,dbr:American_Airlines_Group,309,dbo:keyPerson,1565612,dbr:Doug_Parker,1
286744,dbr:AOL,309,dbo:keyPerson,5139134,dbr:Tim_Armstrong_(executive),1
615831,dbr:Apple_Inc.,309,dbo:keyPerson,5139773,dbr:Tim_Cook,1
622470,dbr:ArcelorMittal,309,dbo:keyPerson,3057617,dbr:Lakshmi_Mittal,1
290251,dbr:AT&T,309,dbo:keyPerson,4285709,dbr:Randall_L._Stephenson,1
719938,dbr:BAE_Systems,309,dbo:keyPerson,2413408,dbr:Ian_King_(BAE_Systems),1
746609,dbr:Banco_Bilbao_Vizcaya_Argentaria,309,dbo:keyPerson,1916192,dbr:Francisco_González_(banker),1
749733,dbr:Bank_of_America,309,dbo:keyPerson,947415,dbr:Brian_Moynihan,1
756452,dbr:Barclays,309,dbo:keyPerson,606154,dbr:Antony_Jenkins,1
817667,dbr:Berkshire_Hathaway,309,dbo:keyPerson,5448025,dbr:Warren_Buffett,1
829005,dbr:Best_Buy,309,dbo:keyPerson,2372568,dbr:Hubert_Joly,1
836741,dbr:Bharti_Enterprises,309,dbo:keyPerson,4907325,dbr:Sunil_Mittal,1
5027440,dbr:The_Blackstone_Group,309,dbo:keyPerson,4852123,dbr:Stephen_A._Schwarzman,1
721330,dbr:BHP_Billiton,309,dbo:keyPerson,546305,dbr:Andrew_Mackenzie_(businessman),1
722001,dbr:BMW,309,dbo:keyPerson,3839219,dbr:Norbert_Reithofer,1
917860,dbr:Boston_Consulting_Group,309,dbo:keyPerson,4352520,dbr:Rich_Lesser,1
723569,dbr:BP,309,dbo:keyPerson,887332,dbr:Bob_Dudley,1
1034654,dbr:Campbell_Soup_Company,309,dbo:keyPerson,1469351,dbr:Denise_Morrison,1
1040900,dbr:Canonical_(company),309,dbo:keyPerson,2581437,dbr:Jane_Silber,1
1044813,dbr:Capital_One,309,dbo:keyPerson,4357084,dbr:Richard_Fairbank,1
1082674,dbr:Caterpillar_Inc.,309,dbo:keyPerson,1567699,dbr:Douglas_R._Oberhelman,1
1087898,dbr:Cavium,309,dbo:keyPerson,4932095,dbr:Syed_B._Ali,1
1006320,dbr:CBS_Corporation,309,dbo:keyPerson,3129034,dbr:Leslie_Moonves,1
1212980,dbr:Cisco_Systems,309,dbo:keyPerson,2734708,dbr:John_T._Chambers,1
1213485,dbr:Citigroup,309,dbo:keyPerson,3520991,dbr:Michael_Corbat,1
5033348,dbr:The_Coca-Cola_Company,309,dbo:keyPerson,3675532,dbr:Muhtar_Kent,1
1248807,dbr:Cognizant,309,dbo:keyPerson,1915679,dbr:Francisco_D'Souza,1
1263137,dbr:Comcast,309,dbo:keyPerson,946461,dbr:Brian_L._Roberts,1
1270551,dbr:ConAgra_Foods,309,dbo:keyPerson,2004257,dbr:Gary_Rodkin,1
1318976,dbr:Crown_Worldwide_Group,309,dbo:keyPerson,2555514,dbr:James_E._Thompson,1
1353145,dbr:Daimler_AG,309,dbo:keyPerson,1508458,dbr:Dieter_Zetsche,1
1460591,dbr:Dell,309,dbo:keyPerson,3521695,dbr:Michael_Dell,1
1487541,dbr:Deutsche_Bank,309,dbo:keyPerson,2815632,dbr:Juergen_Fitschen,1
1487541,dbr:Deutsche_Bank,309,dbo:keyPerson,585347,dbr:Anshu_Jain,1
1487618,dbr:Deutsche_Post,309,dbo:keyPerson,1921921,dbr:Frank_Appel,1
1515859,dbr:DineEquity,309,dbo:keyPerson,2818776,dbr:Julia_Stewart_(businesswoman),1
1346510,dbr:DLF_(company),309,dbo:keyPerson,3023853,dbr:Kushal_Pal_Singh,1
2986572,dbr:Kodak,309,dbo:keyPerson,2618367,dbr:Jeff_Clarke_(businessman),1
379565,dbr:Airbus_Group,309,dbo:keyPerson,5165081,dbr:Tom_Enders,1
1605544,dbr:EBay,309,dbo:keyPerson,2702180,dbr:John_Donahoe,1
1667567,dbr:Electronic_Arts,309,dbo:keyPerson,548788,dbr:Andrew_Wilson_(businessman),1
1726844,dbr:Ericsson,309,dbo:keyPerson,2235689,dbr:Hans_Vestberg,1
1781226,dbr:ExxonMobil,309,dbo:keyPerson,4340460,dbr:Rex_Tillerson,1
1822219,dbr:Facebook,309,dbo:keyPerson,3399963,dbr:Mark_Zuckerberg,1
1841748,dbr:FedEx,309,dbo:keyPerson,1949138,dbr:Frederick_W._Smith,1
1862580,dbr:Fidelity_Investments,309,dbo:keyPerson,316179,dbr:Abigail_Johnson,1
1895086,dbr:Ford_Motor_Company,309,dbo:keyPerson,3392048,dbr:Mark_Fields_(businessman),1
1905271,dbr:Foxconn,309,dbo:keyPerson,5008236,dbr:Terry_Gou,1
1817034,dbr:FUBU,309,dbo:keyPerson,1441645,dbr:Daymond_John,1
2017713,dbr:General_Dynamics,309,dbo:keyPerson,4106569,dbr:Phebe_Novakovic,1
2017746,dbr:General_Electric,309,dbo:keyPerson,2623023,dbr:Jeffrey_R._Immelt,1
2056777,dbr:Gerdau,309,dbo:keyPerson,554228,dbr:André_Bier_Gerdau_Johannpeter,1
2097108,dbr:GlaxoSmithKline,309,dbo:keyPerson,548839,dbr:Andrew_Witty,1
2116165,dbr:Goldman_Sachs,309,dbo:keyPerson,3200698,dbr:Lloyd_Blankfein,1
2121959,dbr:Google,309,dbo:keyPerson,3070743,dbr:Larry_Page,1
1977289,dbr:GMA_Network,309,dbo:keyPerson,1846694,dbr:Felipe_Gozon,1
1977449,dbr:GMR_Group,309,dbo:keyPerson,2141841,dbr:Grandhi_Mallikarjuna_Rao,1
1978905,dbr:GVK_(conglomerate),309,dbo:keyPerson,2178591,dbr:Gunupati_Venkata_Krishna_Reddy,1
3656456,dbr:Mossy_Oak,309,dbo:keyPerson,5203442,dbr:Toxey_Haas,1
2219525,dbr:Halliburton,309,dbo:keyPerson,1422266,dbr:David_J._Lesar,1
2199108,dbr:HCL_Technologies,309,dbo:keyPerson,522361,dbr:Anant_Gupta,1
2318430,dbr:Hewlett-Packard,309,dbo:keyPerson,3484545,dbr:Meg_Whitman,1
2328966,dbr:Hindalco_Industries,309,dbo:keyPerson,3018608,dbr:Kumar_Mangalam_Birla,1
2350954,dbr:Honeywell,309,dbo:keyPerson,1425409,dbr:David_M._Cote,1
2207681,dbr:HSBC,309,dbo:keyPerson,4887761,dbr:Stuart_Gulliver,1
2402850,dbr:IGATE,309,dbo:keyPerson,669560,dbr:Ashok_Vemuri,1
2403287,dbr:IKEA,309,dbo:keyPerson,3559402,dbr:Mikael_Ohlsson,1
2454788,dbr:Infosys,309,dbo:keyPerson,5379929,dbr:Vishal_Sikka,1
2461636,dbr:Intel,309,dbo:keyPerson,946446,dbr:Brian_Krzanich,1
2462062,dbr:InterCall,309,dbo:keyPerson,4617209,dbr:Scott_Etzler,1
2512247,dbr:J.Crew,309,dbo:keyPerson,3545818,dbr:Mickey_Drexler,1
2830356,dbr:Juniper_Networks,309,dbo:keyPerson,2940548,dbr:Kevin_Johnson_(executive),1
2881502,"dbr:Kaplan,_Inc.",309,dbo:keyPerson,547740,dbr:Andrew_S._Rosen,1
2969020,dbr:Kingdom_Holding_Company,309,dbo:keyPerson,391539,dbr:Al-Waleed_bin_Talal,1
3063260,dbr:Land_Securities,309,dbo:keyPerson,4402684,dbr:Robert_Noel_(businessman),1
3063055,dbr:Lanco_Infratech,309,dbo:keyPerson,3295304,dbr:Madhusudhan_Rao_Lagadapati,1
3073619,dbr:Las_Vegas_Sands,309,dbo:keyPerson,4689395,dbr:Sheldon_Adelson,1
3203889,dbr:Lockheed_Martin,309,dbo:keyPerson,3377635,dbr:Marillyn_Hewson,1
3327647,dbr:Manchester_United_F.C.,309,dbo:keyPerson,1419417,dbr:David_Gill_(executive),1
3500703,dbr:Mercedes-Benz,309,dbo:keyPerson,1508458,dbr:Dieter_Zetsche,1
3505652,dbr:Merrill_Lynch,309,dbo:keyPerson,2735346,dbr:John_Thain,1
3509434,dbr:MetLife,309,dbo:keyPerson,1004860,dbr:C._Robert_Henrikson,1
3280864,dbr:MGA_Entertainment,309,dbo:keyPerson,2482169,dbr:Isaac_Larian,1
3548395,dbr:Microsoft,309,dbo:keyPerson,4598333,dbr:Satya_Nadella,1
3576197,dbr:Mile_High_Comics,309,dbo:keyPerson,1201480,dbr:Chuck_Rozanski,1
3587690,dbr:Mindtree,309,dbo:keyPerson,3008823,dbr:Krishnakumar_Natarajan,1
3648946,dbr:Morgan_Stanley,309,dbo:keyPerson,2564362,dbr:James_P._Gorman,1
3658721,dbr:Motorola,309,dbo:keyPerson,2152939,dbr:Greg_Brown_(businessman),1
3668558,dbr:Mozilla,309,dbo:keyPerson,3605674,dbr:Mitchell_Baker,1
3739722,dbr:Nation_Media_Group,309,dbo:keyPerson,5492916,dbr:Wilfred_Kiboro,1
3739971,dbr:National_Amusements,309,dbo:keyPerson,4904384,dbr:Sumner_Redstone,1
3707443,dbr:NBCUniversal,309,dbo:keyPerson,2621256,dbr:Jeff_Zucker,1
3785415,dbr:News_Corporation,309,dbo:keyPerson,4485299,dbr:Rupert_Murdoch,1
3709272,dbr:NIIT,309,dbo:keyPerson,5361754,dbr:Vijay_K._Thadani,1
3809776,"dbr:Nike,_Inc.",309,dbo:keyPerson,3396115,dbr:Mark_Parker,1
3835392,dbr:Nokia,309,dbo:keyPerson,4273484,dbr:Rajeev_Suri,1
3844847,dbr:Nortel,309,dbo:keyPerson,3566313,dbr:Mike_S._Zafirovski,1
3856864,dbr:Novartis,309,dbo:keyPerson,1379904,dbr:Daniel_Vasella,1
3822395,dbr:Nintendo,309,dbo:keyPerson,4597118,dbr:Satoru_Iwata,1
3926345,dbr:Oracle_Corporation,309,dbo:keyPerson,3069736,dbr:Larry_Ellison,1
2102323,dbr:Global_Telecom_Holding,309,dbo:keyPerson,3717940,dbr:Naguib_Sawiris,1
3953618,dbr:Outback_Steakhouse,309,dbo:keyPerson,1181191,dbr:Chris_T._Sullivan,1
4068499,dbr:PepsiCo,309,dbo:keyPerson,2452413,dbr:Indra_Nooyi,1
4146731,dbr:Pizza_Hut,309,dbo:keyPerson,1414419,dbr:David_C._Novak,1
4151884,dbr:Playboy_Enterprises,309,dbo:keyPerson,1189696,dbr:Christie_Hefner,1
4277502,dbr:Ralph_Lauren_Corporation,309,dbo:keyPerson,4277501,dbr:Ralph_Lauren,1
4172298,"dbr:Popular,_Inc.",309,dbo:keyPerson,4355203,dbr:Richard_Carrión,1
4207702,dbr:Prudential_Financial,309,dbo:keyPerson,2734145,dbr:John_Strangfeld,1
4233269,dbr:Qantas,309,dbo:keyPerson,400651,dbr:Alan_Joyce_(executive),1
4246033,dbr:Qwest,309,dbo:keyPerson,4362232,dbr:Richard_Notebaert,1
4324786,dbr:Reliance_Anil_Dhirubhai_Ambani_Group,309,dbo:keyPerson,571182,dbr:Anil_Ambani,1
4324803,dbr:Reliance_Industries,309,dbo:keyPerson,3676031,dbr:Mukesh_Ambani,1
4328837,dbr:Renault,309,dbo:keyPerson,1061164,dbr:Carlos_Ghosn,1
4416742,dbr:Rocawear,309,dbo:keyPerson,2603137,dbr:Jay_Z,1
374854,dbr:Ahold,309,dbo:keyPerson,2729653,dbr:John_Rishton,1
4469718,dbr:Royal_Bank_of_Canada,309,dbo:keyPerson,2126656,dbr:Gordon_Nixon,1
5078050,dbr:The_Royal_Bank_of_Scotland,309,dbo:keyPerson,4460972,dbr:Ross_McEwan,1
4470135,dbr:Royal_Dutch_Shell,309,dbo:keyPerson,806026,dbr:Ben_van_Beurden,1
4521938,dbr:Saab_Automobile,309,dbo:keyPerson,2574271,dbr:Jan-Åke_Jonsson,1
4572653,dbr:SandRidge_Energy,309,dbo:keyPerson,5167103,dbr:Tom_L._Ward,1
4560569,dbr:Samsung,309,dbo:keyPerson,3100692,dbr:Lee_Kun-hee,1
4509121,dbr:SAP_SE,309,dbo:keyPerson,850476,dbr:Bill_McDermott,1
4509187,dbr:SAS_Institute,309,dbo:keyPerson,2557258,dbr:James_Goodnight,1
4605438,dbr:Sbarro,309,dbo:keyPerson,2559431,dbr:James_J._Greco,1
4621436,dbr:Scottrade,309,dbo:keyPerson,4422218,dbr:Rodger_O._Riney,1
4624675,dbr:Seagate_Technology,309,dbo:keyPerson,4854681,dbr:Stephen_J._Luczo,1
4729777,dbr:Simon_Property_Group,309,dbo:keyPerson,1432620,dbr:David_Simon_(CEO),1
4735833,dbr:Singtel,309,dbo:keyPerson,1200523,dbr:Chua_Sock_Koong,1
4741878,dbr:Sirius_Satellite_Radio,309,dbo:keyPerson,3490969,dbr:Mel_Karmazin,1
4752330,dbr:Sleep_Country_Canada,309,dbo:keyPerson,4854845,dbr:Stephen_K._Gunn,1
4765680,dbr:SoftBank,309,dbo:keyPerson,3433603,dbr:Masayoshi_Son,1
4777306,dbr:Sonic_Drive-In,309,dbo:keyPerson,2513287,dbr:J._Clifford_Hudson,1
4778821,dbr:Sony,309,dbo:keyPerson,2910384,dbr:Kazuo_Hirai,1
