sid,sub,pid,pred,oid,obj,class
395170,dbr:Alabama,87,dbo:capital,3640344,"dbr:Montgomery,_Alabama",1
404819,dbr:Alaska,87,dbo:capital,2828358,"dbr:Juneau,_Alaska",1
634406,dbr:Arizona,87,dbo:capital,4119446,"dbr:Phoenix,_Arizona",1
635862,dbr:Arkansas,87,dbo:capital,3190706,"dbr:Little_Rock,_Arkansas",1
1023244,dbr:California,87,dbo:capital,4525682,"dbr:Sacramento,_California",1
1259925,dbr:Colorado,87,dbo:capital,1473910,dbr:Denver,1
1274578,dbr:Connecticut,87,dbo:capital,2256396,"dbr:Hartford,_Connecticut",1
1458980,dbr:Delaware,87,dbo:capital,1568760,"dbr:Dover,_Delaware",1
1884186,dbr:Florida,87,dbo:capital,4966980,"dbr:Tallahassee,_Florida",1
2049895,dbr:Georgia,87,dbo:capital,685424,dbr:Atlanta,1
2265276,dbr:Hawaii,87,dbo:capital,2352287,dbr:Honolulu,1
2420813,dbr:Idaho,87,dbo:capital,901237,"dbr:Boise,_Idaho",1
2437123,dbr:Illinois,87,dbo:capital,4808458,"dbr:Springfield,_Illinois",1
2450592,dbr:Indiana,87,dbo:capital,2451118,dbr:Indianapolis,1
2472869,dbr:Iowa,87,dbo:capital,1483029,"dbr:Des_Moines,_Iowa",1
2879825,dbr:Kansas,87,dbo:capital,5193279,"dbr:Topeka,_Kansas",1
2932522,dbr:Kentucky,87,dbo:capital,1931443,"dbr:Frankfort,_Kentucky",1
3228748,dbr:Louisiana,87,dbo:capital,772673,"dbr:Baton_Rouge,_Louisiana",1
3308399,dbr:Maine,87,dbo:capital,695303,"dbr:Augusta,_Maine",1
3428818,dbr:Maryland,87,dbo:capital,578934,"dbr:Annapolis,_Maryland",1
3436140,dbr:Massachusetts,87,dbo:capital,917573,dbr:Boston,1
3542882,dbr:Michigan,87,dbo:capital,3066509,"dbr:Lansing,_Michigan",1
3590907,dbr:Minnesota,87,dbo:capital,4539289,"dbr:Saint_Paul,_Minnesota",1
3603442,dbr:Mississippi,87,dbo:capital,2530833,"dbr:Jackson,_Mississippi",1
3603814,dbr:Missouri,87,dbo:capital,2621452,"dbr:Jefferson_City,_Missouri",1
3638007,dbr:Montana,87,dbo:capital,2281238,"dbr:Helena,_Montana",1
3753014,dbr:Nebraska,87,dbo:capital,3155616,"dbr:Lincoln,_Nebraska",1
3774284,dbr:Nevada,87,dbo:capital,1073804,"dbr:Carson_City,_Nevada",1
